"","baseMean","log2FoldChange.x","lfcSE.x","stat","pvalue.x","padj.x","log2FoldChange.y","lfcSE.y","pvalue.y","padj.y"
"Nptx1",212.755129974084,-3.62181681449521,0.23626964282758,-15.3291670108388,4.88207010300897e-53,9.7261685496612e-51,-3.5917653932515,0.236886190568565,4.88207010300897e-53,9.7261685496612e-51
"Olfr110",6.29240723187732,-4.10597305695675,1.12852480108656,-3.63835429491976,0.000274385790575062,0.00139031734255455,-3.40514977257166,1.18226865312703,0.000274385790575062,0.00139031734255455
"Adra1a",35.1150028535581,-3.5951493811805,0.583056235296733,-6.16604225036857,7.00203828608415e-10,9.75389373236873e-09,-3.39782864138217,0.604159514013517,7.00203828608415e-10,9.75389373236873e-09
"Gas6",874.692034571585,-3.66036185005075,0.817588043175433,-4.47702468327969,7.56905012627999e-06,5.39461374985464e-05,-3.25592045246821,0.887085273354968,7.56905012627999e-06,5.39461374985464e-05
"Mylk",9.70171497555328,-3.64834297033152,0.82664161479203,-4.4134518575494,1.01735349261488e-05,7.06629977078546e-05,-3.24943233290857,0.851012254722942,1.01735349261488e-05,7.06629977078546e-05
"Ak4",83.9894910751428,-3.35560460379454,0.469123832844697,-7.15291863013364,8.4951966475645e-13,1.67383380099815e-11,-3.2189926215776,0.486027959760358,8.4951966475645e-13,1.67383380099815e-11
"Hmga2",581.922762244467,-3.23748060331229,0.233458231497431,-13.8674939090675,9.96996891129752e-44,1.42196681597381e-41,-3.2024930218768,0.234760307452587,9.96996891129752e-44,1.42196681597381e-41
"Slco2b1",60.1218520718002,-3.28544694648826,0.390409077399762,-8.4153958928678,3.91570219264003e-17,1.18710092318418e-15,-3.19286504161029,0.395527014972308,3.91570219264003e-17,1.18710092318418e-15
"Cand2",25.3297232160813,-3.48797204379538,0.69436677969118,-5.02324152855737,5.08065851102667e-07,4.5580661166473e-06,-3.18178427726614,0.740640701685912,5.08065851102667e-07,4.5580661166473e-06
"Ch25h",626.677381805601,-3.37670910565563,0.614111229472041,-5.4985301417768,3.82970084135286e-08,4.13298153566808e-07,-3.13855201989422,0.648507457258337,3.82970084135286e-08,4.13298153566808e-07
"Sema3c",113.592168198324,-3.1536097488815,0.254535171569144,-12.3896816673323,2.97220870392062e-35,2.98433531543262e-33,-3.11340947613214,0.256266174966703,2.97220870392062e-35,2.98433531543262e-33
"Zfp618",233.248775642929,-3.12591633295584,0.344928179836646,-9.06251363526237,1.27478351037658e-19,4.67830638559544e-18,-3.04877702625977,0.353509766717227,1.27478351037658e-19,4.67830638559544e-18
"Xrra1",6.45407134682677,-3.66823098934589,1.01992328025082,-3.59657540951882,0.000322434140185524,0.00160018619749645,-3.04597377793293,1.06654472994048,0.000322434140185524,0.00160018619749645
"Fat3",15.0625323989633,-3.44491325291371,0.79242437895013,-4.34730851854636,1.37818297345476e-05,9.29977123646811e-05,-3.03291714130135,0.854180295061019,1.37818297345476e-05,9.29977123646811e-05
"Ms4a7",642.269495806524,-2.98641981073246,0.191513984130405,-15.5937427979095,8.02884608440359e-55,1.67950078675582e-52,-2.96901732054926,0.192326633223712,8.02884608440359e-55,1.67950078675582e-52
"Ccl4",503.521772583095,-3.02348187849745,0.375935507842437,-8.04255468138608,8.79846042086336e-16,2.300614098797e-14,-2.93070192761439,0.38276047774048,8.79846042086336e-16,2.300614098797e-14
"Enpp1",66.8754017150864,-2.98249964952804,0.366167227324473,-8.14518456859369,3.78703813350516e-16,1.01779690821463e-14,-2.89321441588186,0.370979501184158,3.78703813350516e-16,1.01779690821463e-14
"Speg",443.318614029752,-3.0418388669707,0.49573000473997,-6.13607979724016,8.45826829434473e-10,1.1627571233551e-08,-2.87750980040042,0.510565639949131,8.45826829434473e-10,1.1627571233551e-08
"Mmp27",48.0168854359696,-2.96774599299205,0.383470075635629,-7.73918535383184,1.0005582610346e-14,2.36497301963187e-13,-2.86969227789226,0.387649964171175,1.0005582610346e-14,2.36497301963187e-13
"Shc2",12.8551477088622,-3.22411648273645,0.753812724447,-4.27707887937508,1.8936171946292e-05,0.000124694592916008,-2.84606331759438,0.79153836744925,1.8936171946292e-05,0.000124694592916008
"Ms4a14",79.9015581116615,-2.8742941677328,0.29330748980684,-9.79959349018223,1.13039645780182e-22,5.15912943340752e-21,-2.81551941835519,0.296302697253079,1.13039645780182e-22,5.15912943340752e-21
"Slc45a3",16.4798065269093,-3.10206724404356,0.642995542887119,-4.82439929539006,1.40425845689797e-06,1.1511984253773e-05,-2.81369492165921,0.677653951580524,1.40425845689797e-06,1.1511984253773e-05
"Ccl2",5143.54324730439,-3.05674196633812,0.606186855603792,-5.04257381710043,4.59311477610644e-07,4.15332734545475e-06,-2.80657472231745,0.63574411418895,4.59311477610644e-07,4.15332734545475e-06
"Tpbgl",17.327078846172,-3.13073282613495,0.698520669295634,-4.48194729769682,7.39650119412716e-06,5.28363611198008e-05,-2.79689167031482,0.734716507358885,7.39650119412716e-06,5.28363611198008e-05
"Tox2",14.2522038552561,-3.10806078585857,0.713340474486055,-4.35705094134446,1.31826594784139e-05,8.92906417234607e-05,-2.74975739776665,0.757921251266238,1.31826594784139e-05,8.92906417234607e-05
"Armcx1",7.73834706226829,-3.20371529349871,0.815746184394906,-3.92734327758471,8.58893520021393e-05,0.000489331482968157,-2.74952217630236,0.856363421005644,8.58893520021393e-05,0.000489331482968157
"Cnrip1",49.6910968975253,-2.81321843681763,0.36275431923577,-7.75516179309555,8.82309157669434e-15,2.10529700340477e-13,-2.72085900503439,0.366559792283614,8.82309157669434e-15,2.10529700340477e-13
