"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gsn",1.87504889855194e-16,0.450367253164082,0.699,0.47,3.00626589904833e-12
"Hilpda",4.8607458273041e-08,0.449242612061592,0.307,0.176,0.000779323378491667
"Traf1",2.90901814692507e-16,0.448674141017096,0.479,0.24,4.66402879496497e-12
"Plbd1",1.96402008895965e-22,0.445210162970912,0.914,0.811,3.14891340862901e-18
"H2afz",1.88273422102784e-20,0.442513455621553,0.972,0.942,3.01858777657394e-16
"Anxa2",8.06367668566578e-20,0.439832394051733,0.778,0.505,1.29284928301279e-15
"Itgax",1.58804797067303e-16,0.437028959400671,0.461,0.222,2.54611731138008e-12
"St3gal5",9.13837939982766e-25,0.422475635479464,0.256,0.044,1.46515636917437e-20
"Cd9",4.29824218004412e-14,0.422044941483875,0.853,0.697,6.89137168726474e-10
"Rbm3",1.88343503737448e-18,0.417964838370137,0.837,0.613,3.01971139542251e-14
"Axl",1.06342821978626e-12,0.416325342932887,0.719,0.539,1.70499446478331e-08
"H2afy",5.01012504184361e-17,0.412638803639401,0.729,0.464,8.03273347958786e-13
"H2-DMb2",1.00999457381897e-11,0.399308841707753,0.343,0.169,1.61932430020396e-07
"Ccr6",1.34051325488263e-24,0.396529145105471,0.202,0.018,2.14924490155331e-20
"Rps27l",1.33619199968529e-12,0.384315875641416,0.846,0.676,2.14231663309543e-08
"Adam8",1.75327916574602e-19,0.382293658656428,0.206,0.038,2.8110324864406e-15
"Cxcl14",3.34121525371476e-11,0.381891006225003,0.346,0.174,5.35697041628087e-07
"Slamf9",1.45125422904545e-12,0.378503359258568,0.801,0.607,2.32679590542858e-08
"Gch1",9.39505634355657e-14,0.376210724920938,0.474,0.252,1.50630938356243e-09
"Etv3",5.64852080994118e-13,0.374901408313383,0.543,0.316,9.05627341457869e-09
"Tspo",4.56332162488543e-15,0.374841734815485,0.902,0.77,7.31637356117882e-11
"Tmsb4x",7.21870966604198e-53,0.374485889486467,1,1,1.15737572075651e-48
"Ldha",4.40823917270432e-13,0.372142624485445,0.752,0.546,7.06772986559683e-09
"Smim3",1.60412447044028e-11,0.372127198797164,0.38,0.202,2.57189276345689e-07
"Higd2a",2.35601178095096e-12,0.371868722057262,0.64,0.416,3.77739368839867e-08
"Dnajc15",8.5370855790159e-20,0.369759624605095,0.382,0.141,1.36875093088362e-15
"Dcstamp",1.9016538407016e-16,0.367879960291556,0.195,0.043,3.04892160279688e-12
"Cd300lg",7.52816679378071e-22,0.366349885510299,0.249,0.053,1.20699098204686e-17
"Clic4",4.97714853962216e-13,0.36061830446883,0.622,0.393,7.9798622535762e-09
"Ssr4",1.31279063460601e-14,0.360601117314054,0.837,0.638,2.10479722446382e-10
"Lmnb1",1.01951873525604e-13,0.358213658023872,0.277,0.105,1.63459438823601e-09
"Samsn1",1.86182746320715e-11,0.355624497403588,0.461,0.266,2.98506797176002e-07
"Lactb",5.23789486407201e-18,0.354628699212015,0.345,0.132,8.39791683556665e-14
"Nr4a1",3.91329224951372e-11,0.3543492730599,0.677,0.451,6.27418146364535e-07
"Ckb",2.33735826658818e-10,0.351779804618434,0.776,0.576,3.74748650882083e-06
"Pitpna",1.86013266228017e-14,0.349316819470292,0.867,0.743,2.98235069743379e-10
"Flrt3",4.02030082280193e-10,0.346436148173671,0.278,0.13,6.44574830919833e-06
"Lmo1",2.8912079466227e-15,0.344307963299224,0.241,0.076,4.63547370082018e-11
"Tlr2",1.66181702118915e-08,0.341838243106073,0.661,0.497,0.000266439123007257
"Arf5",1.308521502293e-13,0.340101883014925,0.877,0.724,2.09795252462636e-09
"Btg1",6.54867294001629e-12,0.338625473911012,0.936,0.84,1.04994873247281e-07
"Psap",1.70865822499646e-17,0.338453043101226,0.999,0.987,2.73949173213682e-13
"Sgk1",1.31693573407241e-06,0.337462844282616,0.33,0.199,0.021114430624383
"Degs1",1.57687550788812e-11,0.33647838812745,0.507,0.306,2.52820450179703e-07
"Sirpb1c",2.85382997298206e-12,0.335563412403082,0.292,0.125,4.57554559568214e-08
"Arl5c",1.82552465600192e-07,0.334551036871654,0.345,0.206,0.00292686368096788
"H2-Ob",1.51089568946271e-16,0.33428764308017,0.287,0.097,2.42241905891556e-12
"Csrnp1",1.23948160654199e-09,0.333587772932826,0.745,0.553,1.98726085976877e-05
"Slamf7",3.55594780305114e-09,0.333112543867608,0.571,0.387,5.70125111263189e-05
"Dbnl",9.50126527304529e-14,0.332867089685242,0.481,0.255,1.52333786122735e-09
"Plp2",2.76521740357421e-16,0.33282951536086,0.373,0.158,4.43347306315054e-12
"Trappc5",7.44933883529816e-15,0.332434114153127,0.414,0.197,1.19435249546335e-10
"Pigx",1.64346791661986e-14,0.332229425253111,0.406,0.191,2.63497211071662e-10
"Tmem238",4.22283547493337e-18,0.331109607904023,0.249,0.067,6.77047211696067e-14
"Cysltr1",9.48588246834067e-11,0.330942562173622,0.439,0.25,1.52087153614906e-06
"Avpi1",8.32927484897873e-08,0.330055322071791,0.296,0.163,0.00133543263653676
"Hexb",2.80028512587242e-11,0.329547249397011,0.902,0.824,4.48969714231126e-07
"Pilra",1.60522411151335e-14,0.327232437214807,0.551,0.298,2.57365581798936e-10
"Sh3bgrl",4.45861936317153e-14,0.326076729971348,0.657,0.396,7.14850442497292e-10
"Il6",3.95129636696459e-08,0.322839643973625,0.148,0.054,0.000633511346515433
"Rac2",2.71122589484657e-11,0.320808785977633,0.773,0.6,4.34690847720751e-07
"Alox5ap",3.38694953436705e-17,0.320128174803212,0.952,0.868,5.4302961884507e-13
"Crlf2",2.86935723313568e-11,0.319716339472386,0.663,0.454,4.60044045188643e-07
"Zyx",1.80488441431012e-13,0.317928023398363,0.677,0.439,2.89377118146342e-09
"Sec11c",3.70450207053203e-12,0.315942856424565,0.791,0.574,5.939428169684e-08
"Hopx",9.13707721858194e-14,0.314639559324144,0.299,0.12,1.46494759045524e-09
"Slc2a1",7.27239082617857e-10,0.312700866040999,0.227,0.097,1.16598242116121e-05
"Lsr",2.04540499087301e-15,0.309580933027418,0.31,0.118,3.2793978218667e-11
"Fgr",2.4304416361877e-13,0.307891032107841,0.371,0.174,3.89672707529974e-09
"Gpx1",1.70570116852587e-16,0.305789821650539,0.992,0.977,2.73475068349753e-12
"Mt2",2.82709390020393e-06,0.30544651337891,0.493,0.345,0.0453267965019697
"Gapdh",1.46483945832644e-12,0.30540806002609,0.943,0.831,2.34857710353478e-08
"Aldoc",1.01205560557116e-19,0.303170928212434,0.202,0.035,1.62262875241223e-15
"Rab11fip1",6.0815068852968e-14,0.301529229618171,0.258,0.092,9.75047998919636e-10
"Flna",1.35292373086478e-12,0.301470924838741,0.611,0.368,2.1691426176955e-08
"Sh3bgrl3",6.85253037944283e-18,0.299013600986763,0.989,0.977,1.09866619573607e-13
"Pkib",2.23079301894234e-13,0.294055206535029,0.364,0.169,3.57663044727025e-09
"Fdps",1.97063968853446e-10,0.294027355954372,0.292,0.138,3.15952661262729e-06
"Malt1",7.06642086665822e-07,0.291492380752123,0.227,0.118,0.0113295925755131
"Med21",1.34368948391909e-08,0.291096871028804,0.253,0.125,0.000215433734956748
"Tgif1",9.98066519662257e-08,0.284442473156686,0.608,0.428,0.0016002000509745
"Swi5",1.63732664208143e-09,0.283055900822926,0.598,0.391,2.62512580524916e-05
"Serp1",6.01680180029938e-10,0.282855338879288,0.733,0.543,9.64673832641999e-06
"Csf2ra",1.87731659211326e-10,0.282370554902578,0.787,0.62,3.0099016921352e-06
"Gadd45b",2.31689248875863e-06,0.281628797180372,0.857,0.789,0.0371467372722671
"Rplp0",3.1947111228843e-20,0.281297719355257,0.994,0.99,5.12208034332039e-16
"Trem1",2.17814094550907e-15,0.280138591543195,0.271,0.09,3.49221337793468e-11
"H2-Ab1",6.13995890276771e-19,0.279784090658361,1,0.992,9.84419610880747e-15
"Tma7",1.74687125709939e-10,0.279194896268155,0.837,0.638,2.80075868650745e-06
"Vasp",4.69900494188053e-10,0.278368262214191,0.598,0.401,7.53391462331706e-06
"Dusp5",1.50734972481975e-10,0.278011119425421,0.438,0.25,2.41673381380351e-06
"Csf2rb",8.83604856072445e-12,0.277473183277481,0.431,0.23,1.41668366574095e-07
"Tkt",1.41805243153152e-09,0.27720751153339,0.801,0.6,2.27356346347448e-05
"Lrrfip1",2.84230704935147e-09,0.274586614104404,0.481,0.294,4.55707089222521e-05
"Smpdl3a",5.81446679619311e-12,0.271890816967186,0.533,0.314,9.32233461433641e-08
"Ccr2",1.85887881327499e-09,0.269871154320102,0.734,0.512,2.98034040132379e-05
"Klrb1a",4.05029485154609e-17,0.268203130613642,0.134,0.01,6.49383773548384e-13
"Bax",1.50747958594622e-09,0.26375875790696,0.673,0.461,2.41694202014757e-05
"Pkm",1.17193859440706e-10,0.263712987740818,0.758,0.584,1.87896914841284e-06
"Sowahc",3.50987743567919e-10,0.261040948911255,0.496,0.299,5.62738649262445e-06
"Gm826",6.94515485826617e-13,0.260452737701053,0.206,0.064,1.11351667842581e-08
"Colgalt1",7.92409737796527e-11,0.258551657334222,0.453,0.26,1.27047053260917e-06
"Irf5",7.93141110669392e-09,0.256440806269483,0.571,0.378,0.000127164314273624
"Cd40",3.47939968964065e-08,0.256034658656309,0.238,0.117,0.000557852152240085
"Siglecg",2.93662089164106e-14,0.255289160436217,0.15,0.026,4.70828427556811e-10
"Coro1a",2.67958892489236e-14,0.255187217832077,0.974,0.882,4.29618492327992e-10
"Irf4",4.06252013366072e-11,0.254901455067856,0.17,0.053,6.51343853029823e-07
"Idi1",4.7856661390056e-11,0.253298936554923,0.256,0.107,7.67285852066768e-07
"Coro2a",3.58802329090056e-09,0.252306392088514,0.19,0.076,5.75267774230086e-05
"Slc2a6",3.50189558088103e-12,0.251852182219034,0.176,0.051,5.61458918482655e-08
"Cd79b",1.14547546748139e-07,-0.252516324576744,0.048,0.13,0.00183654081701291
"Ophn1",7.37914450422685e-09,-0.257868143496229,0.028,0.105,0.000118309823836269
"Junb",6.33223996997062e-08,-0.275523164842316,0.989,0.987,0.00101524803438539
"Dse",8.24163579401921e-07,-0.281456556411775,0.089,0.174,0.013213814668551
"Rps3a1",4.22704615231136e-20,-0.28805793489566,0.997,0.993,6.7772230960008e-16
"Tmem176a",6.603836868694e-08,-0.288234936513875,0.935,0.913,0.00105879316515771
"Tanc2",1.1861932113381e-07,-0.28876900175823,0.054,0.135,0.00190182357573837
"Cmklr1",1.86082542572131e-09,-0.294594471954841,0.054,0.15,2.98346140505898e-05
"Ddx5",5.46021067237231e-11,-0.29557178440789,0.968,0.957,8.75435577101452e-07
"Tpst2",2.55062681642141e-06,-0.296462769155834,0.184,0.283,0.0408941997476845
"Abcc3",4.40875636538837e-15,-0.310000553436418,0.019,0.127,7.06855908062718e-11
"Tgfbi",1.71964276286755e-06,-0.314369787210762,0.796,0.803,0.0275710324170555
"Atp6v0c",3.03151127565514e-09,-0.316303253985446,0.932,0.914,4.86042202825788e-05
"Ctsc",4.49466003830184e-08,-0.319580074521301,0.953,0.936,0.000720628843940933
"H3f3b",2.68321253532003e-12,-0.35519349539296,0.992,0.993,4.30199465787861e-08
