"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hspa8",1.38153388853164e-137,0.589359340234645,0.996,0.989,2.21501328348277e-133
"Rassf3",2.14133733805458e-136,0.660696614874979,0.984,0.953,3.43320615410291e-132
"Klra2",9.71349088983726e-134,0.693338321615851,0.905,0.733,1.55736399436761e-129
"Pld4",9.82653593207224e-134,0.582205374784762,0.97,0.87,1.57548850598914e-129
"Bcam",1.30284510695275e-133,0.722239633172779,0.858,0.615,2.08885155997734e-129
"Ly6e",2.9038645092948e-132,0.645180130060798,0.995,0.982,4.65576596775236e-128
"Cd24a",1.56750167312387e-128,0.718567214466164,0.938,0.737,2.51317543251949e-124
"Serpinb6a",1.75345671828956e-127,-0.704109402157119,0.481,0.784,2.81131715643366e-123
"Csf3r",3.57036954200333e-126,0.558907452851133,0.988,0.93,5.72437348669393e-122
"Qpct",2.14692429542999e-124,0.656946172044314,0.586,0.205,3.4421637228629e-120
"Chn2",2.63169375472779e-124,0.781915595695243,0.822,0.521,4.21939459695506e-120
"Dock10",8.59606487017548e-124,0.731133803360252,0.932,0.79,1.37820708063524e-119
"Pilrb2",2.04610090075673e-123,0.573234184939723,0.946,0.829,3.28051357418327e-119
"Igfbp4",1.06401985440376e-121,-0.362136663290052,0.029,0.308,1.70594303256555e-117
"Sirpb1b",1.0267087640584e-120,0.564099803869082,0.406,0.057,1.64612216141483e-116
"Fabp4",1.36991910806137e-120,0.97524492885277,0.973,0.947,2.19639130595479e-116
"Fam129a",3.83635660762245e-120,0.521037174850363,0.565,0.185,6.15083054900107e-116
"Rprm",4.79920932224941e-120,-0.27897835957237,0.004,0.246,7.69457230636247e-116
"Reep3",2.46031401534709e-118,-0.573904383510043,0.888,0.977,3.94462146080599e-114
"Slc38a6",3.95323489724788e-118,-0.626003722242594,0.348,0.678,6.33822151075753e-114
"Fcer1g",2.37398570606315e-116,0.393441767527706,1,0.989,3.80621128253105e-112
"Acaca",3.35450481204966e-116,0.597289740168116,0.993,0.973,5.37827756515922e-112
"Dnm1",3.6176456934538e-116,-0.240425058969286,0.001,0.23,5.80017134031447e-112
"Il13ra1",6.75636659135627e-116,0.564590689266767,0.72,0.402,1.08324825559215e-111
"Pilrb1",1.41800570349111e-115,0.555230417537149,0.879,0.67,2.2734885444073e-111
