"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rps4x",0.0114742163606416,0.0957303763646693,0.855,0.838,1
"Ncoa6",0.0115010595634293,-0.0900212350646471,0.297,0.368,1
"Mndal",0.0115128015604788,-0.134461777676031,0.824,0.861,1
"Manea",0.0115688298239458,-0.0854994926345897,0.141,0.191,1
"2610001J05Rik",0.0116036956904169,-0.0590361931577342,0.386,0.454,1
"Ampd3",0.0116538021614913,-0.0216274324157006,0.171,0.225,1
"Phf11a",0.0116751240898861,-0.0500373079655855,0.082,0.119,1
"Lap3",0.0117111694477825,-0.0469731469759249,0.249,0.312,1
"Arhgap21",0.0117587487790802,-0.140150133454775,0.373,0.44,1
"Snapc3",0.0118299135987158,-0.0282744796318305,0.108,0.153,1
"Pgm2l1",0.0119024420867219,-0.0725610751698701,0.257,0.321,1
"Slc12a2",0.0119096256885967,-0.0740729147016462,0.351,0.417,1
"Ist1",0.0119146041366468,-0.113734974036934,0.449,0.523,1
"Ttc33",0.0119274086769946,-0.0828035470157848,0.098,0.138,1
"Elp1",0.0119744273350215,0.148662100566238,0.163,0.121,1
"Tk1",0.0119864108539244,-0.0729245437053429,0.094,0.132,1
"Cstb",0.0120394638550376,0.0726387012219232,0.705,0.671,1
"Mapk1ip1l",0.012088575169019,-0.0761599376182578,0.443,0.511,1
"Elf2",0.0121050423512681,-0.101889574155327,0.6,0.686,1
"Clec4d",0.0121343561556226,0.133690457757994,0.133,0.095,1
"Igsf6",0.0122098775186832,0.121056676804909,0.614,0.595,1
"Mob1a",0.0122263262685636,0.162298648781094,0.755,0.74,1
"Btbd2",0.012239394268246,-0.0163844192276473,0.064,0.1,1
"Znfx1",0.0122463625096969,-0.0664944753572968,0.408,0.48,1
"Caml",0.0122522598804341,-0.101161174167933,0.198,0.252,1
"Mrpl13",0.0122534890109782,0.0337388140135117,0.213,0.273,1
"Rpl36a",0.0123420476167519,0.118645022415371,0.764,0.756,1
"Ube2e3",0.0123420671904707,-0.0844021933986749,0.28,0.341,1
"Oas1g",0.0123444550792491,-0.054950526424764,0.129,0.174,1
"Atp2c1",0.012397221861419,-0.11408564214531,0.478,0.554,1
"Scaf11",0.0124418975328666,-0.0528245859621844,0.451,0.525,1
"Arrb2",0.0124729026331502,-0.0908956256553992,0.712,0.74,1
"Orc4",0.0124755601509086,-0.010331276879284,0.227,0.288,1
"Mark3",0.0124959455540097,-0.171754667969785,0.346,0.406,1
"Tecr",0.0124960420631432,-0.0988897607984743,0.304,0.373,1
"Cdk13",0.012522620110144,-0.193647352914292,0.535,0.596,1
"Msl1",0.0125473846491327,-0.0877034808233372,0.346,0.409,1
"Cherp",0.0125627069379469,-0.0231315079113608,0.146,0.196,1
"Lmna",0.0125904121693924,-0.132265135059169,0.149,0.197,1
"Rhbdf2",0.0126302628073182,-0.154463052701574,0.389,0.454,1
