"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Adgre4",8.62516202152913e-14,0.334961049986512,0.902,0.863,1.38287222691177e-09
"Fgr",1.24676695365033e-07,0.332982322843911,0.578,0.49,0.00199894145678757
"Ifitm6",6.46916187603882e-10,0.330497353750355,0.382,0.251,1.0372007235853e-05
"Plbd1",7.31676738193381e-12,0.330111348312442,0.838,0.784,1.17309731434545e-07
"H2-DMb1",1.36539409009581e-09,0.32977542862402,0.863,0.829,2.18913634465061e-05
"Btg1",1.28424289389041e-11,0.327097840681778,0.935,0.918,2.05902663177449e-07
"Cd52",3.16802271907536e-13,0.327020485744668,0.867,0.819,5.07929082549353e-09
"Anxa3",1.01255649723496e-08,0.324801751955801,0.735,0.688,0.000162343183201681
"Wipf1",1.50001436517581e-07,0.323770929813112,0.799,0.755,0.00240497303168638
"Sla",1.0276770119677e-06,0.321977427614571,0.572,0.513,0.0164767455328782
"Gltp",2.53282733148448e-09,0.320364820533767,0.737,0.691,4.06088206056906e-05
"Sat1",1.17508133714439e-18,0.320297125991724,0.978,0.969,1.8840079078436e-14
"Tkt",7.55704436415673e-10,0.319331554214453,0.78,0.743,1.21162092290525e-05
"Mtpn",3.73114804424103e-09,0.318332710919257,0.751,0.701,5.98214965933164e-05
"Cxcl14",1.3940674377472e-10,0.316462567661108,0.231,0.113,2.23510832294008e-06
"Pip4k2a",1.696767453839e-09,0.316340375797147,0.812,0.799,2.72042725874007e-05
"Sirpb1b",1.82622444829519e-11,0.315965230715328,0.351,0.213,2.92798565795169e-07
"Rnf149",1.4487924963445e-06,0.315376874204264,0.85,0.831,0.0232284900938914
"Pkm",7.56686544018306e-07,0.315362020112244,0.668,0.606,0.0121319553602455
"Tmem14c",5.91932915861359e-08,0.315053638277624,0.72,0.678,0.000949046044000516
"Rps9",3.46480168605626e-18,0.314369444061834,0.965,0.944,5.55511654325401e-14
"Gm2a",6.02893947738532e-09,0.314047431102992,0.73,0.703,9.66619866409188e-05
"Cdk2ap2",2.13344913628637e-08,0.311694795492494,0.733,0.669,0.000342055900020794
