"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tet2",0.0615124822329205,0.0556704164992207,0.12,0.087,1
"Dnajb1",0.0615282988701236,-0.378917771308955,0.312,0.327,1
"Clcn4",0.0616018330723326,0.00200207355782711,0.217,0.164,1
"Naa60",0.0616395348534521,0.0340730328567916,0.116,0.082,1
"Slc6a6",0.0619857190197077,-0.00628225687113426,0.449,0.363,1
"Utp18",0.0620929017451555,0.0206326947152237,0.13,0.092,1
"Csf2rb2",0.0621723371236044,0.0161674832370132,0.143,0.104,1
"Fndc3b",0.0621990218353425,-0.0287785530616029,0.136,0.097,1
"Snx4",0.06220128483711,-0.00135383024531699,0.137,0.099,1
"Exoc6",0.0622069360966037,0.022088510063087,0.155,0.113,1
"Ap1s1",0.0623369124410547,-0.024785600992874,0.269,0.204,1
"Psmd7",0.0625329682374139,-0.0385443494445645,0.316,0.238,1
"Ppp2cb",0.0625503252152682,0.0381390089772475,0.1,0.069,1
"Arhgap45",0.0625893266029627,-0.00511759619492291,0.403,0.309,1
"Rnf2",0.0628475277755913,-0.0284156564094824,0.101,0.069,1
"Cisd2",0.0629563664332868,-0.0575655586924894,0.295,0.222,1
"Lypla2",0.0631342392973579,-0.0296984008858326,0.175,0.128,1
"Tpt1",0.0631641261650428,0.0452112423443385,0.999,1,1
"Azin1",0.0633486778903068,-0.0506012452989824,0.238,0.179,1
"Wac",0.0634047618014813,-0.0371404592730428,0.211,0.16,1
"Arid4a",0.0636071238970727,-0.0630560065132936,0.258,0.197,1
"Tmem51",0.0637368709743406,-0.0410111240533898,0.195,0.145,1
"Lsm12",0.0637452436857691,-0.0230376295497582,0.317,0.247,1
"Zfp326",0.0637506901068495,-0.00248907149805405,0.122,0.086,1
"Anapc5",0.063875032270113,0.0149014635562221,0.298,0.232,1
"Mark3",0.0638869201182671,0.0206379586923771,0.105,0.074,1
"Lap3",0.0642210270359522,-0.15760306613592,0.181,0.207,1
"Ercc1",0.0646723759231882,0.026396362865108,0.122,0.087,1
"Adprh",0.0646742607103793,-0.0259057417106662,0.321,0.247,1
"Zfand5",0.0649646992364606,0.0665170900403256,0.778,0.717,1
"Actr10",0.0650632790978344,0.0416030886761157,0.306,0.242,1
"Ubald2",0.0654258708233073,0.00368052896413995,0.417,0.334,1
"Klf10",0.0654826578143548,-0.00122935537687074,0.202,0.155,1
"Rab7",0.0654902248569406,0.0301891064871791,0.623,0.503,1
"Derl1",0.0656046949252005,-0.0122566738897104,0.442,0.34,1
"Arap1",0.0657488828578992,-0.226312538894898,0.169,0.194,1
"Uqcrc1",0.0659040956407255,-1.23011079400381e-05,0.468,0.372,1
"Eif4ebp2",0.0660619259113661,-0.0256843766281973,0.22,0.166,1
"Clec4a2",0.0662469288606011,0.051370528915236,0.712,0.582,1
"Dars",0.0664593449159369,0.00435698240745286,0.122,0.087,1
"Ighm",0.066501061233309,-0.243085348401277,0.526,0.508,1
"Sms",0.0665485787804151,0.072904801585429,0.169,0.128,1
"Eif4b",0.0666909049558514,-0.239694737418551,0.403,0.403,1
"Ogfr",0.0666994259019555,-0.0184058057534189,0.247,0.186,1
"Naa20",0.0670939634360132,-0.00472230353477199,0.162,0.12,1
"Pxk",0.0672136678005274,-0.00488549454733639,0.122,0.086,1
"Rpl9",0.0672795145893129,0.0592889150402769,0.996,0.99,1
"D1Ertd622e",0.0673609737497413,-0.013328857093243,0.161,0.12,1
"Mboat7",0.0674525051119185,0.0479687301190013,0.204,0.156,1
"Erbin",0.0678152133336316,0.00246671171265533,0.186,0.14,1
"Itpripl2",0.0678437960398237,-0.0333339842118631,0.233,0.178,1
"Tmem33",0.0679449368249678,0.0104845078098826,0.252,0.194,1
"Bbip1",0.067974106041689,0.0478274308849105,0.255,0.202,1
"Vcp",0.0680165787638189,0.0415765096248288,0.514,0.414,1
"Dnajc13",0.0680434676714362,-0.12382259569917,0.093,0.122,1
"Fkbp1b",0.0681918064184464,0.0533154946515937,0.144,0.107,1
"Elovl5",0.0686416273372757,-0.012592825896095,0.129,0.092,1
"Akr1a1",0.0687473692361531,0.0174182642383078,0.812,0.691,1
"Tomm70a",0.0688127470955588,-0.0024958118612482,0.136,0.099,1
"Acap2",0.0688258445257979,-0.0308169580648697,0.157,0.115,1
"Senp2",0.0688374687624456,0.00322280362312277,0.154,0.113,1
"Gnb1",0.0688588480020395,-0.00578610043845784,0.644,0.508,1
"Ppp1r12c",0.0690028913006761,-0.219488327903077,0.263,0.278,1
"Gbp3",0.0690364133150857,-0.118536356499075,0.162,0.194,1
"Dennd5a",0.0691406223514894,0.0204914253779584,0.263,0.206,1
"Frrs1",0.0691943678866474,0.00918509486044128,0.134,0.097,1
"mt-Nd5",0.0692587641595609,-0.0162596099708641,0.284,0.227,1
"Dad1",0.0695246905518751,0.0210664666922635,0.787,0.692,1
"Mis18a",0.0696914166717165,0.0275936264172965,0.115,0.082,1
"Cyb5r3",0.0697945880845263,-0.0409072161374635,0.292,0.225,1
"Mrc1",0.0701684952391629,-0.269699947334792,0.661,0.613,1
"Slc15a4",0.0703930287348539,-0.0381517195483945,0.216,0.161,1
"Ppp1cc",0.0706060888782301,0.0428199787828998,0.288,0.225,1
"Kctd12",0.0706406172329929,-0.223536271705404,0.693,0.678,1
"Polr2m",0.0709668017809601,0.0120779631686531,0.177,0.133,1
"Rpl7a",0.0710648192145594,0.0645898593752152,0.971,0.949,1
"Ier5",0.0710741660996912,-0.223207790145052,0.867,0.842,1
"Tra2b",0.0713269596334512,-0.0563852599333865,0.357,0.271,1
"Apobec3",0.0714287391618505,-0.246012263285095,0.233,0.253,1
"Bad",0.0715988746759078,-0.139324726603141,0.184,0.214,1
"Pdha1",0.07179737815882,0.0174160802797608,0.157,0.117,1
"M6pr",0.0718240443164097,-0.0161596979707964,0.456,0.355,1
"Kxd1",0.0719402912804652,0.0107989302440603,0.374,0.299,1
"Ikzf1",0.0720392431541405,0.00142934839888165,0.181,0.137,1
"Rps27a",0.0721223370562082,0.0524769984311302,1,0.998,1
"Smarcc2",0.0721633941161661,0.0189627850520941,0.143,0.105,1
"Arhgap18",0.0723438779787888,-0.0815151204340112,0.359,0.276,1
"Cav2",0.0723692846005118,0.0124223010907485,0.14,0.102,1
"Sbds",0.072465544236168,0.0191071958141122,0.335,0.265,1
"Scarb2",0.0726817507876388,-0.0356457871975314,0.463,0.36,1
"Dlst",0.0727334430885824,0.00521471351866704,0.165,0.123,1
"Map4",0.0727890468455514,-0.0378147047665564,0.177,0.133,1
"Ccny",0.0728956333589695,0.0331528194001494,0.116,0.084,1
"Nup98",0.0729806710329619,-0.0280751583215878,0.211,0.16,1
"Galnt1",0.0731525979911087,-0.0125477232543346,0.283,0.219,1
"Atg5",0.0731681410749973,-0.0339190712879334,0.195,0.146,1
