"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100a11",8.99464614968219e-78,0.536641912621977,0.818,0.624,1.44211161717855e-73
"Lgals3",8.80473065619888e-97,0.531235301078878,0.977,0.912,1.41166246610837e-92
"Cd44",3.98890761492664e-90,0.524828605580636,0.951,0.882,6.39541557901188e-86
"Vim",2.33225989674139e-61,0.521090460134866,0.93,0.849,3.73931229244548e-57
"Fam129a",3.83635660762245e-120,0.521037174850363,0.565,0.185,6.15083054900107e-116
"St8sia4",1.13999273654786e-53,0.514371925984586,0.779,0.612,1.82775035450718e-49
"Ckb",2.32492337329087e-76,0.510289684795213,0.966,0.897,3.72754964439725e-72
"Fabp5",4.17007596842216e-16,0.509794225240022,0.812,0.774,6.68588280017125e-12
"Itgb1",2.46304375941198e-148,0.501588667619898,0.999,0.994,3.94899805946522e-144
"Wipf1",1.67582588137669e-78,0.499414022121215,0.971,0.917,2.68685163561125e-74
"Btg1",4.36792980009535e-72,0.492284284274941,0.877,0.737,7.00310184849288e-68
"Dbi",6.70994849757089e-106,0.490221076163236,0.991,0.966,1.07580604261554e-101
"Zfp36l2",3.83447587146668e-92,0.487235909261341,0.988,0.95,6.14781516472253e-88
"Dock4",9.84271256591629e-57,0.486665123914111,0.608,0.367,1.57808210569336e-52
"Osbpl8",1.78237665818557e-62,0.484867175767284,0.914,0.813,2.85768449606893e-58
"Il17ra",1.4659408672057e-94,0.484465945413929,0.75,0.473,2.3503429923909e-90
"Asap1",1.48106098260403e-67,0.484314221781272,0.961,0.929,2.37458507340904e-63
"Ifitm6",1.22901597138432e-77,0.484166556842637,0.963,0.922,1.97048130692048e-73
"Pbx3",1.84125459820389e-51,0.47838443158731,0.927,0.849,2.9520834973003e-47
"Ctsc",1.03636648940946e-64,0.473932402531521,0.966,0.941,1.66160639247019e-60
"Parp8",1.58309832766171e-59,0.473921289416262,0.747,0.544,2.53818154874002e-55
"Myo1f",2.14092493006758e-72,0.472149094884731,0.945,0.886,3.43254494037734e-68
"Dynll1",2.70469391286848e-81,0.471281484574485,0.939,0.835,4.33643575050203e-77
"Dgkg",1.48620091366035e-63,0.465373931813239,0.82,0.624,2.38282592487164e-59
"Acly",1.70899172884599e-115,0.454404080601079,0.998,0.987,2.74002643885878e-111
"Gngt2",4.31636984110231e-93,0.453163798925025,0.995,0.973,6.92043576623934e-89
"Hexb",8.15595801208076e-78,0.452259377998592,0.927,0.807,1.30764474807691e-73
"Cd300ld",3.86591419624384e-72,0.448153896729531,0.881,0.711,6.19822023083775e-68
"Nrg1",1.87888478213226e-49,0.444015217373733,0.257,0.067,3.01241597119266e-45
"Itga6",2.37430604054802e-109,0.441257205776306,1,0.996,3.80672487481064e-105
"Id3",1.99782048851288e-29,0.436889336465662,0.234,0.095,3.20310558923271e-25
"Tspan13",3.72985208977943e-79,0.435431831866995,0.761,0.506,5.98007185554335e-75
"Cdk14",2.26353948322417e-46,0.43041096821033,0.874,0.753,3.62913285345331e-42
"Cyba",8.80023476999253e-113,0.427824184917984,0.997,0.996,1.4109416406729e-108
"Ankrd33b",1.89623857670822e-49,0.424314306576234,0.903,0.809,3.04023931003629e-45
"Pkm",4.41510300298908e-74,0.422493034097376,0.969,0.929,7.0787346446924e-70
"Usp3",1.02130768881253e-65,0.421474232431509,0.981,0.967,1.63746261747313e-61
"F10",1.93487410047781e-68,0.421002389056321,0.986,0.961,3.10218364529607e-64
"Actg1",1.12272005100586e-61,0.416504808545092,0.997,0.993,1.8000570577777e-57
"Itgam",2.96122847976285e-107,0.412800709200435,0.998,0.996,4.74773762160377e-103
"F5",3.29742010913311e-85,0.410932646909024,0.996,0.988,5.28675366097312e-81
"Lcp1",5.02604157310241e-67,0.410830442459105,0.947,0.895,8.0582524541551e-63
"Gfod1",8.90344408648521e-27,0.410270216555655,0.605,0.46,1.42748919038617e-22
"Cd68",9.90869636086318e-66,0.409427316970976,0.958,0.892,1.58866128753719e-61
"Uqcrq",1.30761927554892e-75,0.405912156131548,0.964,0.882,2.09650598448759e-71
"Map3k20",6.51030593485934e-46,0.401676477740573,0.768,0.62,1.043797350536e-41
"March1",2.83219643632126e-44,0.400155714079368,0.858,0.749,4.54086054635388e-40
"Sort1",1.7915330778882e-71,0.399478702248888,0.664,0.399,2.87236498377816e-67
"Cdk2ap2",1.96229748879894e-70,0.399084912455563,0.915,0.789,3.14615156379133e-66
"Clec4e",3.87872725499751e-46,0.396132223579677,0.869,0.76,6.21876340793751e-42
"Fcer1g",2.37398570606315e-116,0.393441767527706,1,0.989,3.80621128253105e-112
"Ptprc",3.71678427968537e-68,0.392967472233732,0.986,0.966,5.95912023561955e-64
"Rab27a",2.40145460221829e-48,0.392945631495198,0.965,0.933,3.85025216373659e-44
"Clec4a3",4.91591751974228e-57,0.392770788450184,0.684,0.469,7.8816905594028e-53
"Dapp1",1.22919317238477e-46,0.392476706984275,0.939,0.888,1.97076541328449e-42
"Unc93b1",1.30859575454699e-82,0.390618405023278,0.991,0.964,2.09807157326519e-78
"Ndufa1",2.41240169505895e-72,0.390403526826799,0.985,0.95,3.86780363768801e-68
"Fam49b",2.38760343329689e-71,0.390154491808457,0.999,0.994,3.8280445846049e-67
"Ier5",6.85593208139565e-56,0.390085033722204,0.657,0.42,1.09921159061016e-51
"Retreg1",4.6399690134258e-54,0.388129982194644,0.591,0.356,7.43926231922558e-50
"Lsp1",6.75328081837365e-79,0.388048770588726,0.989,0.972,1.08275351360985e-74
"Hsp90aa1",2.82569222045407e-51,0.384277864314172,0.959,0.915,4.53043233705401e-47
"Fnbp1",2.26818388224402e-47,0.383477101186667,0.795,0.659,3.63657921840184e-43
"Cfp",1.12096620970539e-80,0.382771469800646,0.999,0.995,1.79724512402065e-76
"Arhgap39",1.4376594859217e-47,0.380247552512132,0.848,0.722,2.30499945377826e-43
"Rassf4",8.29390827279643e-72,0.377189720786729,0.974,0.944,1.32976231337745e-67
"Cd209a",2.99616420740108e-28,0.375399266097206,0.199,0.07,4.80375007372615e-24
"Syk",2.37647923106553e-53,0.374005058922112,0.943,0.912,3.81020915116736e-49
"Prtn3",7.78219475511376e-28,0.373891624211549,0.925,0.886,1.24771928508739e-23
"Uqcc2",4.26273279236472e-56,0.371654822503039,0.865,0.712,6.83443948599836e-52
"Ogfrl1",3.97299852632042e-57,0.369033807227366,0.716,0.513,6.36990853724953e-53
"Cd209b",2.599746789519e-09,0.366787277084541,0.378,0.31,4.16817402763582e-05
"Atox1",1.35684181773939e-64,0.366415711642435,0.984,0.943,2.17542448638157e-60
"Svil",4.3613748397546e-36,0.364965279401864,0.867,0.799,6.99259228057855e-32
"Cysltr1",2.88303392610921e-43,0.363484039368381,0.819,0.706,4.62236829373089e-39
"Dock8",6.26222989220853e-48,0.36202992357999,0.989,0.979,1.00402331861779e-43
"Sowahc",1.00528270478917e-66,0.360560456493599,0.482,0.208,1.61176976058847e-62
"Tmem160",8.39601990734331e-59,0.360013785303491,0.918,0.809,1.34613387174435e-54
"Rnaset2a",6.33960864338341e-57,0.359638610272969,0.973,0.933,1.01642945379366e-52
"Zfhx3",8.67308284747576e-53,0.359136691036994,0.965,0.939,1.39055537293579e-48
"Myh9",6.20106611153027e-55,0.358921654192007,0.913,0.854,9.94216929661648e-51
"Myl12b",8.44894541648554e-66,0.358593204191848,0.953,0.887,1.35461941862513e-61
"Hck",1.57836926280719e-43,0.358221524908734,0.715,0.538,2.53059943905876e-39
"Trps1",2.03936978781344e-38,0.356208743345441,0.994,0.985,3.26972158080129e-34
"Ripor2",8.1679718846152e-32,0.355976666524498,0.901,0.835,1.30957093226036e-27
"Atp1a3",7.29909023880461e-53,0.35508501962549,0.917,0.841,1.17026313798754e-48
"Plcb1",1.29001641229767e-14,0.354599697098204,0.908,0.959,2.06828331383686e-10
"Nrp1",6.32298503756889e-41,0.352780452208439,0.788,0.634,1.01376419107342e-36
"Stk17b",2.92946103583291e-56,0.350645345342677,0.771,0.572,4.69680487875091e-52
"Plaur",8.09976835986314e-44,0.349861415930233,0.911,0.811,1.29863586113686e-39
"Cst3",1.46652492412543e-108,0.349083726365777,1,0.999,2.3512794108503e-104
"Pde4b",2.85284789755349e-35,0.349012487959416,0.626,0.437,4.57397103414751e-31
"Acer3",9.13350326919399e-34,0.348995922316957,0.933,0.875,1.46437457914987e-29
"Orm1",1.24169423592828e-38,0.347371911457777,0.271,0.1,1.99080836846381e-34
"Pde4d",4.15977890368274e-19,0.346183645188345,0.563,0.433,6.66937351627453e-15
"Plcl1",3.65108010048726e-40,0.344479175406238,0.307,0.116,5.85377672511122e-36
"Stk10",9.028093873423e-38,0.344329572520785,0.939,0.899,1.44747429072591e-33
"Ephx1",2.74053568903852e-25,0.343531938486926,0.633,0.499,4.39390087023546e-21
"Golph3l",3.01898024736634e-64,0.341013106597723,0.476,0.21,4.84033103060245e-60
