"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rplp1",3.05669110648459e-08,0.29071179665281,0.986,0.953,0.000490079285102675
"Rack1",5.92918187941149e-08,0.290392857595799,0.942,0.88,0.000950625730726045
"Rpl23",3.85041390747654e-07,0.290260470397166,0.964,0.953,0.00617336861785713
"Fau",2.57701734004221e-06,0.276559428885078,0.983,0.943,0.0413173190128968
"Rpl18a",2.91777469624734e-06,0.274116696796361,0.945,0.911,0.0467806817049336
"Rps19",1.95401322251283e-06,0.272961426274815,0.952,0.938,0.0313286939965483
"Rps3a1",1.8720887053378e-06,0.271248763408447,0.958,0.917,0.0300151982126809
"H2-Aa",6.29964217413976e-07,0.260083615531834,0.998,0.995,0.0101002162977983
"H3f3a",2.29112567477777e-06,0.255615668368948,0.958,0.932,0.0367336179437119
"Mki67",2.42724619215061e-07,0.250088673408262,0.519,0.312,0.00389160381987508
"Cped1",1.23588940983647e-06,-0.258187092319763,0.1,0.219,0.0198150149079081
"Igkc",1.28011632438578e-22,-0.261754579299838,0.121,0.396,2.05241050288771e-18
"Col3a1",2.52451854763713e-06,-0.272691496042397,0.053,0.141,0.0404756058742661
"Sec61a2",4.66948060667719e-08,-0.274004707846386,0.1,0.234,0.000748657825668554
"Setd2",1.94595565052972e-06,-0.284881634026821,0.336,0.505,0.031199506944943
"Mrps10",2.81611766495024e-08,-0.285539382972566,0.111,0.255,0.000451508145221472
"Cdk6",2.04878874215255e-06,-0.295386847518718,0.357,0.536,0.0328482299029318
"Gbp8",1.69694827858209e-06,-0.300501263762609,0.353,0.51,0.0272071717505067
"Fam214b",2.67335653043627e-07,-0.310353510354168,0.154,0.302,0.00428619252524847
"Slc40a1",3.29138673043023e-11,-0.324874918768694,0.059,0.193,5.27708034489879e-07
"AC149090.1",3.53866161758468e-07,-0.333035764990533,0.355,0.547,0.00567353617147351
"Ms4a7",1.85351835367076e-06,-0.335876644814999,0.778,0.854,0.0297174597644033
"Nbr1",7.20784832644895e-08,-0.34042684687242,0.288,0.484,0.00115563432217956
"Ahsa1",2.64221178955443e-06,-0.343879032890279,0.467,0.609,0.0423625816219262
"Rgl1",2.0809050492976e-06,-0.34810178658085,0.739,0.87,0.0333631506553884
"Arl4d",2.76702124549702e-06,-0.359604390173129,0.159,0.286,0.0443636516290537
"Npl",5.70480768415239e-12,-0.360124894813349,0.208,0.427,9.14651816000152e-08
"Zbp1",3.37851581275543e-08,-0.364218182667601,0.186,0.344,0.000541677440259078
"Ifi203",1.76921634733656e-06,-0.369171516817111,0.423,0.594,0.0283658456968471
"Lgmn",8.94670934455681e-08,-0.378798111805123,0.975,0.974,0.00143442590921279
"Arhgap17",7.3098392088092e-07,-0.379636302058767,0.534,0.688,0.0117198652034838
"C3ar1",2.53986359676398e-06,-0.382525696330127,0.783,0.885,0.0407216330469169
"Vps26a",1.89551385452626e-06,-0.384267368680847,0.675,0.823,0.0303907736296195
"Dtx4",1.09324188009874e-09,-0.384754810308818,0.209,0.406,1.75279470636231e-05
"Pdpk1",2.78026012640867e-06,-0.394444635975882,0.335,0.51,0.0445759106067102
"Apoe",3.04620916732286e-07,-0.405220777916767,0.958,0.99,0.00488398715796874
"Slc35f6",4.00960644680486e-10,-0.409775695801314,0.307,0.516,6.42860201616223e-06
"Grn",2.64573074062334e-07,-0.416667084220141,0.875,0.917,0.00424190009644141
"Serpina3f",4.69679226502219e-08,-0.448767843650653,0.069,0.182,0.000753036703851007
"Lonrf3",1.22994597016322e-09,-0.459527861492316,0.115,0.271,1.97197237396269e-05
"Tle4",6.23443121064295e-07,-0.471617166797825,0.402,0.594,0.00999566356002383
"Fcgr2b",3.80059686943213e-07,-0.474731204173951,0.735,0.807,0.00609349696076054
