"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Nsrp1",1.16262003210333e-66,0.487634635290687,0.49,0.282,1.86402869747128e-62,"Ly6C+ CM WT","Nsrp1"
"Ghitm",1.26038076879256e-66,0.488645922024715,0.739,0.581,2.02076848660511e-62,"Ly6C+ CM WT","Ghitm"
"Slu7",1.84318545353014e-66,0.38699430012583,0.464,0.257,2.95517923764488e-62,"Ly6C+ CM WT","Slu7"
"Mbd2",3.13266842980875e-66,0.487607827079595,0.622,0.423,5.02260729351237e-62,"Ly6C+ CM WT","Mbd2"
"Pik3c2a1",4.35466317275331e-66,0.636685204845018,0.599,0.395,6.98183146487539e-62,"Ly6C+ CM WT","Pik3c2a"
"Ndufa32",8.22974965880757e-66,0.483791262546947,0.755,0.547,1.31947576279662e-61,"Ly6C+ CM WT","Ndufa3"
"Parp10",3.01483509584599e-65,0.433285433192689,0.323,0.144,4.83368510916988e-61,"Ly6C+ CM WT","Parp10"
"Pirb2",3.99494643819735e-65,0.574269199830282,0.736,0.501,6.40509762436181e-61,"Ly6C+ CM WT","Pirb"
"Ldlr1",4.99312956562317e-65,0.53533350755133,0.565,0.341,8.00548463256362e-61,"Ly6C+ CM WT","Ldlr"
"Mtmr14",7.14467282950528e-65,0.433889272128664,0.458,0.239,1.14550539475458e-60,"Ly6C+ CM WT","Mtmr14"
"Ciapin1",7.31795129010182e-65,0.461906217853705,0.314,0.137,1.17328713034202e-60,"Ly6C+ CM WT","Ciapin1"
"Pkd1l2",7.54125314450771e-65,0.259292476229865,0.167,0.042,1.20908911665892e-60,"Ly6C+ CM WT","Pkd1l2"
"Nuak2",9.14961135747315e-65,0.485703357446269,0.616,0.388,1.46695718894367e-60,"Ly6C+ CM WT","Nuak2"
"Ero1l",9.78468204378173e-65,0.648714713903922,0.382,0.197,1.56877807207952e-60,"Ly6C+ CM WT","Ero1l"
"Bst21",1.41120523153404e-64,0.578650857448799,0.796,0.67,2.26258534771853e-60,"Ly6C+ CM WT","Bst2"
"Slc35b1",2.09016728962868e-64,0.381069581033469,0.434,0.231,3.35116521546166e-60,"Ly6C+ CM WT","Slc35b1"
"Rpl27a2",5.91439350087845e-64,0.369914143657433,0.952,0.954,9.48254709995842e-60,"Ly6C+ CM WT","Rpl27a"
"Atp6v0d1",6.13809668799699e-64,0.474328870789255,0.802,0.662,9.84121041986557e-60,"Ly6C+ CM WT","Atp6v0d1"
"Slpi1",1.33282384254134e-63,1.49311026546351,0.373,0.181,2.13691646674652e-59,"Ly6C+ CM WT","Slpi"
"Rabgef1",1.64178445446866e-63,0.426159155208171,0.782,0.538,2.63227301584961e-59,"Ly6C+ CM WT","Rabgef1"
"Tma72",1.94777446877195e-63,0.459964579968171,0.808,0.637,3.12286680578206e-59,"Ly6C+ CM WT","Tma7"
"Themis21",2.78503748243432e-63,0.605241545229173,0.602,0.404,4.46525059558695e-59,"Ly6C+ CM WT","Themis2"
"Mmp19",5.59580535233092e-63,0.525168108376567,0.233,0.083,8.97175472139216e-59,"Ly6C+ CM WT","Mmp19"
"Ccdc71l",6.30441932484807e-63,0.468055334546474,0.337,0.156,1.01078755035289e-58,"Ly6C+ CM WT","Ccdc71l"
"Ccnl1",1.01299083942297e-62,0.437748752405188,0.928,0.794,1.62412821284684e-58,"Ly6C+ CM WT","Ccnl1"
"Smdt12",1.58879879151972e-62,0.507284447814343,0.774,0.61,2.54732110244357e-58,"Ly6C+ CM WT","Smdt1"
"Dnaja2",3.59071916957199e-62,0.561080611917591,0.722,0.569,5.75700004457477e-58,"Ly6C+ CM WT","Dnaja2"
"Rnf34",9.67842897062234e-62,0.439181775348417,0.402,0.201,1.55174251685988e-57,"Ly6C+ CM WT","Rnf34"
"Taf1d",9.74349969271887e-62,0.437750146872357,0.551,0.34,1.56217530573362e-57,"Ly6C+ CM WT","Taf1d"
"Ccdc134",1.4334758765582e-61,0.273339940836085,0.292,0.114,2.29829187288576e-57,"Ly6C+ CM WT","Ccdc134"
"Arnt",5.46091256150276e-61,0.525166833243277,0.634,0.444,8.75548110985738e-57,"Ly6C+ CM WT","Arnt"
"Bend4",6.04654156988145e-61,0.39306584057059,0.183,0.055,9.69442009899093e-57,"Ly6C+ CM WT","Bend4"
"Mafk",6.55617381290218e-61,0.382502272603438,0.402,0.194,1.05115134742261e-56,"Ly6C+ CM WT","Mafk"
"Galnt6",8.75463668756767e-61,0.284624962467816,0.243,0.083,1.40363090011773e-56,"Ly6C+ CM WT","Galnt6"
"Sema4a2",1.52066076158124e-60,0.280489221968169,0.35,0.153,2.43807539904321e-56,"Ly6C+ CM WT","Sema4a"
"Sp110",2.17583629626355e-60,0.520575982452567,0.545,0.36,3.48851833379934e-56,"Ly6C+ CM WT","Sp110"
"Slfn41",2.9125438666386e-60,1.21144680034227,0.373,0.195,4.66968158138167e-56,"Ly6C+ CM WT","Slfn4"
"Insig11",2.95133491575394e-60,0.330183637907556,0.469,0.257,4.73187527042829e-56,"Ly6C+ CM WT","Insig1"
"Inpp5b",3.68736961859838e-60,0.535026433163898,0.327,0.153,5.91195970949879e-56,"Ly6C+ CM WT","Inpp5b"
"Herc61",5.96021788173018e-60,0.804692036332882,0.442,0.259,9.556017329778e-56,"Ly6C+ CM WT","Herc6"
"Stxbp3",9.14660164069353e-60,0.760962584943766,0.703,0.537,1.46647464105239e-55,"Ly6C+ CM WT","Stxbp3"
"Snapc1",1.19714917253213e-59,0.396516978728424,0.377,0.186,1.91938926832076e-55,"Ly6C+ CM WT","Snapc1"
"Socs31",1.73822612549046e-59,0.526260002610505,0.859,0.609,2.78689794699885e-55,"Ly6C+ CM WT","Socs3"
"Grb21",2.05177012083719e-59,0.330304918522873,0.935,0.881,3.28960303473827e-55,"Ly6C+ CM WT","Grb2"
"H2-DMa2",3.74330007349901e-59,0.267967060293812,0.817,0.694,6.00163300784097e-55,"Ly6C+ CM WT","H2-DMa"
"Phf11a",8.38627725174457e-59,0.403448416053127,0.257,0.105,1.34457183177221e-54,"Ly6C+ CM WT","Phf11a"
"Rab8a",1.32982482706148e-58,0.403550146958809,0.544,0.357,2.13210814522767e-54,"Ly6C+ CM WT","Rab8a"
"Tctex1d21",1.91917797651172e-58,0.255466120497008,0.344,0.154,3.07701804974123e-54,"Ly6C+ CM WT","Tctex1d2"
"Prpf38a",2.04379821659516e-58,0.360619652795655,0.408,0.213,3.27682168066701e-54,"Ly6C+ CM WT","Prpf38a"
"Synj11",2.34880575749479e-58,0.602900792464308,0.744,0.588,3.7658402709914e-54,"Ly6C+ CM WT","Synj1"
"Hmgcl",2.99007763334362e-58,0.411912036890773,0.542,0.34,4.79399146953983e-54,"Ly6C+ CM WT","Hmgcl"
"Nop53",4.89714117217764e-58,0.462126532080087,0.686,0.502,7.85158644135242e-54,"Ly6C+ CM WT","Nop53"
"Bpnt1",7.64954464312057e-58,0.307753785705872,0.258,0.102,1.22645149263152e-53,"Ly6C+ CM WT","Bpnt1"
"Rnf157",1.40868182035783e-57,0.520985881194704,0.375,0.181,2.25853956257972e-53,"Ly6C+ CM WT","Rnf157"
"Plk2",2.09722325682682e-57,0.47995857538533,0.33,0.153,3.36247804767044e-53,"Ly6C+ CM WT","Plk2"
"Acp51",2.90859293627828e-57,0.516733909619728,0.356,0.161,4.66334705473496e-53,"Ly6C+ CM WT","Acp5"
"Polr2i",3.00785056403298e-57,0.514239700517113,0.459,0.278,4.82248680931407e-53,"Ly6C+ CM WT","Polr2i"
"Vamp82",4.47547034968421e-57,0.455466168415075,0.852,0.748,7.17552161164869e-53,"Ly6C+ CM WT","Vamp8"
"Ndufa22",4.86470570951791e-57,0.432631675694295,0.84,0.693,7.79958266407007e-53,"Ly6C+ CM WT","Ndufa2"
"Eif3k3",5.50202640389203e-57,0.419618125248613,0.793,0.653,8.82139893336009e-53,"Ly6C+ CM WT","Eif3k"
"Atg12",1.16096482050406e-56,0.365501922193728,0.403,0.216,1.86137489671416e-52,"Ly6C+ CM WT","Atg12"
"Mob4",1.47945493103418e-56,0.410157145107558,0.608,0.422,2.3720100909271e-52,"Ly6C+ CM WT","Mob4"
"Dnaja1",1.73509031014314e-56,0.919301591194831,0.817,0.722,2.7818702942525e-52,"Ly6C+ CM WT","Dnaja1"
