"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd226",0,2.21833125614043,0.789,0.005,0,"SPM WT","Cd226"
"Aff3",0,2.09448092120316,0.719,0.006,0,"SPM WT","Aff3"
"Tenm4",0,1.47015688928648,0.659,0.01,0,"SPM WT","Tenm4"
"Aldh1a2",0,1.4404154222651,0.778,0.039,0,"SPM WT","Aldh1a2"
"Stxbp6",0,1.30866927833782,0.778,0.047,0,"SPM WT","Stxbp6"
"Cd2",0,1.02222966987474,0.686,0.007,0,"SPM WT","Cd2"
"Upb1",0,0.900877874922304,0.584,0.017,0,"SPM WT","Upb1"
"Tmem154",0,0.889970001969325,0.757,0.029,0,"SPM WT","Tmem154"
"Kcnn4",0,0.822112005996267,0.697,0.027,0,"SPM WT","Kcnn4"
"Celf4",0,0.701298160274921,0.649,0.032,0,"SPM WT","Celf4"
"Rem1",0,0.630200046053617,0.568,0.005,0,"SPM WT","Rem1"
"Hr",0,0.576394463374075,0.459,0.002,0,"SPM WT","Hr"
"Klrb1a",0,0.57058476998786,0.519,0.002,0,"SPM WT","Klrb1a"
"Dhcr24",0,0.498215542270606,0.535,0.018,0,"SPM WT","Dhcr24"
"Spink2",0,0.493855071020595,0.416,0.006,0,"SPM WT","Spink2"
"Lilra6",0,0.478342925000347,0.519,0.017,0,"SPM WT","Lilra6"
"Ndnf",0,0.458942591250087,0.395,0.004,0,"SPM WT","Ndnf"
"Kazald1",0,0.363299173558137,0.362,0.003,0,"SPM WT","Kazald1"
"Cebpe",0,0.278764008679634,0.346,0.005,0,"SPM WT","Cebpe"
"Cfap99",0,0.264258940482078,0.308,0.003,0,"SPM WT","Cfap99"
"Scn2b",0,0.259070262859755,0.416,0.003,0,"SPM WT","Scn2b"
"Mamdc2",6.89997885337837e-304,0.382127176217061,0.319,0.004,1.10627360956215e-299,"SPM WT","Mamdc2"
"Skint3",1.53383648678252e-301,1.32051804175945,0.8,0.062,2.45920003925841e-297,"SPM WT","Skint3"
"Sdc1",9.25046913851123e-290,0.523617115289431,0.578,0.027,1.48312771697751e-285,"SPM WT","Sdc1"
"Map4k1",1.0178749098065e-276,0.759141227003825,0.735,0.053,1.63195884289275e-272,"SPM WT","Map4k1"
"A530064D06Rik",7.59845925482024e-254,0.462090257716683,0.546,0.028,1.21826097232533e-249,"SPM WT","A530064D06Rik"
"Clec4b1",1.78261429293175e-253,1.31934803147982,0.784,0.069,2.85806549585747e-249,"SPM WT","Clec4b1"
"Rnf152",1.15081678894153e-249,0.294636549669881,0.292,0.005,1.84510455770995e-245,"SPM WT","Rnf152"
"Retnla",2.13828479692777e-245,5.99386104619364,0.978,0.155,3.4283120149143e-241,"SPM WT","Retnla"
"Ltb4r1",7.74639764619885e-237,1.3110413331999,0.724,0.064,1.24197993461506e-232,"SPM WT","Ltb4r1"
"F13a1",1.20941570702903e-236,2.59939503072579,0.951,0.129,1.93905620307964e-232,"SPM WT","F13a1"
"Akr1c18",5.02493472854693e-236,0.281656444386661,0.168,0,8.0564778502793e-232,"SPM WT","Akr1c18"
"Plxnd1",1.04103760895864e-233,1.6669923917243,0.87,0.108,1.66909559844339e-229,"SPM WT","Plxnd1"
"Gfi1b",5.51320638228616e-228,0.280089953493854,0.427,0.018,8.8393237927194e-224,"SPM WT","Gfi1b"
"Ptger2",1.05017039731486e-216,0.392206315878374,0.524,0.032,1.68373819801492e-212,"SPM WT","Ptger2"
"Acpp",2.88303189671408e-216,0.404114753407257,0.481,0.027,4.62236504000168e-212,"SPM WT","Acpp"
"Hepacam2",3.55042022795857e-213,0.597912793525732,0.514,0.031,5.69238875148598e-209,"SPM WT","Hepacam2"
"Gramd4",1.24126311745349e-208,0.739295245232019,0.762,0.079,1.99011715621319e-204,"SPM WT","Gramd4"
"Espn",2.4035687692009e-208,0.435423493345532,0.492,0.029,3.85364180765981e-204,"SPM WT","Espn"
"Slc13a3",4.2151676941382e-205,0.48451914547581,0.605,0.046,6.75817836401177e-201,"SPM WT","Slc13a3"
"Ryr1",4.51893213096946e-205,0.857523781335619,0.741,0.077,7.24520388558333e-201,"SPM WT","Ryr1"
"Gfra2",4.32469808293412e-194,0.636987065996034,0.654,0.059,6.93378843636828e-190,"SPM WT","Gfra2"
"Thsd4",5.48001406927821e-192,0.968742960474391,0.443,0.026,8.78610655727375e-188,"SPM WT","Thsd4"
"Ccr2",1.27320472219921e-176,3.15231556613419,0.886,0.175,2.041329131102e-172,"SPM WT","Ccr2"
"Ptgir",1.49578471171874e-175,0.434200852930231,0.584,0.052,2.39819162829866e-171,"SPM WT","Ptgir"
"Olfm1",3.7832359497762e-175,1.17863305158302,0.746,0.094,6.06566219827618e-171,"SPM WT","Olfm1"
"Dna2",5.9572509684748e-170,0.632245979710875,0.627,0.064,9.55126047775565e-166,"SPM WT","Dna2"
"Capn5",4.0022717078452e-165,0.535394024836443,0.719,0.087,6.41684222918821e-161,"SPM WT","Capn5"
"Hopx",1.85226585296194e-163,1.38191184415272,0.881,0.162,2.96973784205388e-159,"SPM WT","Hopx"
"Kbtbd11",4.05483648726715e-160,0.460696190600874,0.568,0.054,6.50111934003543e-156,"SPM WT","Kbtbd11"
"Gapt",6.32723395564861e-158,0.4565271620401,0.622,0.067,1.01444542010914e-153,"SPM WT","Gapt"
"Arhgap26.1",1.79233032304733e-157,1.52549135072198,0.946,0.197,2.87364320694178e-153,"SPM WT","Arhgap26.1"
"Zfyve28",4.74108217846465e-157,0.279219815714464,0.384,0.023,7.60137705673238e-153,"SPM WT","Zfyve28"
"Kank3",6.61954416622782e-157,0.369640667490164,0.492,0.041,1.06131151617131e-152,"SPM WT","Kank3"
"H2-DMb2",7.03801712867989e-156,1.40714908059779,0.692,0.093,1.12840528624125e-151,"SPM WT","H2-DMb2"
"Il27ra",3.06403689178434e-155,0.345962087588889,0.497,0.042,4.91257034859783e-151,"SPM WT","Il27ra"
"Ak8",1.16614320023641e-154,0.532621389751436,0.6,0.065,1.86967739293904e-150,"SPM WT","Ak8"
"Lpar1",1.2634591788699e-154,0.91605459879229,0.859,0.142,2.02570410148211e-150,"SPM WT","Lpar1"
"Cd300lg",5.57912915373317e-152,0.618678699579467,0.73,0.101,8.94501777218038e-148,"SPM WT","Cd300lg"
"Steap3",1.79932199034486e-151,0.665591100697788,0.724,0.1,2.88485294711992e-147,"SPM WT","Steap3"
"Il1rl1",7.17333292860626e-144,0.431263512765503,0.459,0.039,1.15010046844344e-139,"SPM WT","Il1rl1"
"Nup210",8.98013822102105e-144,0.351445523909507,0.422,0.033,1.43978556097631e-139,"SPM WT","Nup210"
"1700025G04Rik",1.40893532045e-143,0.725983187728432,0.73,0.1,2.25894599927748e-139,"SPM WT","1700025G04Rik"
"Ear2",6.65954333046377e-141,2.16193442619972,0.649,0.093,1.06772458217326e-136,"SPM WT","Ear2"
"Epb41l1",1.29924453266567e-138,1.25933022782316,0.962,0.228,2.08307875922287e-134,"SPM WT","Epb41l1"
"Pianp",1.41831010912755e-138,0.335913175157431,0.357,0.023,2.2739765979642e-134,"SPM WT","Pianp"
"Kcnq1",1.54086227894151e-137,0.966869943780283,0.632,0.083,2.47046449182692e-133,"SPM WT","Kcnq1"
"Mcub",2.5196537256128e-137,1.75574663913661,0.973,0.29,4.039760818275e-133,"SPM WT","Mcub"
"Socs6",5.82549011963268e-136,1.60058565686413,0.881,0.207,9.34000830880708e-132,"SPM WT","Socs6"
"Kif19a",1.1146531795268e-131,0.273158238096093,0.454,0.041,1.78712344273532e-127,"SPM WT","Kif19a"
"Sema4a",4.56789554105653e-131,0.804596174353582,0.903,0.174,7.32370692097594e-127,"SPM WT","Sema4a"
"Capn2",1.13489608420574e-130,1.05936260188596,0.914,0.212,1.81957889180706e-126,"SPM WT","Capn2"
"Mras",1.81441008068744e-130,0.408077112694483,0.573,0.065,2.90904368236617e-126,"SPM WT","Mras"
"Hlcs",8.90331584547403e-130,0.774900291494923,0.832,0.154,1.42746862950485e-125,"SPM WT","Hlcs"
"Slc25a24",1.82216374865831e-129,0.518352569487116,0.746,0.119,2.92147513822387e-125,"SPM WT","Slc25a24"
"Prelid2",2.01638957954209e-129,0.64849554685676,0.638,0.085,3.23287741287984e-125,"SPM WT","Prelid2"
"Plxna1",2.2135245245643e-129,0.30066760219084,0.514,0.053,3.54894387023394e-125,"SPM WT","Plxna1"
"Cnn2",2.39478748905797e-129,1.08857300368309,0.886,0.191,3.83956278120664e-125,"SPM WT","Cnn2"
"Magi2",1.08405859929685e-128,0.267028674514017,0.243,0.011,1.73807115225265e-124,"SPM WT","Magi2"
"Bcam",2.85449167323325e-127,0.796252898659878,0.778,0.136,4.57660649969486e-123,"SPM WT","Bcam"
"Ptpn22",1.05896071091792e-126,0.774774939283029,0.827,0.152,1.6978317078147e-122,"SPM WT","Ptpn22"
"Atp8b4",4.42343431360375e-126,0.877849463417637,0.838,0.155,7.09209223500089e-122,"SPM WT","Atp8b4"
"Irf4",5.99753636943271e-126,0.827137663990648,0.778,0.141,9.61585006111146e-122,"SPM WT","Irf4"
"Fam78b",1.08256834041336e-124,1.00699817858818,0.881,0.178,1.73568182018475e-120,"SPM WT","Fam78b"
"Rab3d",6.61934359617185e-123,0.515298073769398,0.719,0.115,1.06127935877423e-118,"SPM WT","Rab3d"
"Dok2",7.07534313187782e-123,1.29902157854264,0.962,0.272,1.13438976433397e-118,"SPM WT","Dok2"
"Lyz1",4.37138079412964e-122,3.81971162263098,0.908,0.289,7.00863482722806e-118,"SPM WT","Lyz1"
"Unc119",2.07143671746862e-121,1.30161233064549,0.93,0.26,3.32113448911744e-117,"SPM WT","Unc119"
"Ahnak",1.11295018333659e-119,2.14364512908006,1,0.392,1.78439302894356e-115,"SPM WT","Ahnak"
"Clec10a",1.32777300514795e-119,0.466448437069041,0.67,0.099,2.12881845915371e-115,"SPM WT","Clec10a"
"Ptpn7",1.68750936279525e-119,0.686352067231154,0.832,0.157,2.70558376136963e-115,"SPM WT","Ptpn7"
"Krt80",3.26685465514009e-118,1.04815048284704,0.93,0.234,5.2377480685861e-114,"SPM WT","Krt80"
"S100a4",7.52062787391422e-117,2.37020002410555,0.951,0.314,1.20578226702467e-112,"SPM WT","S100a4"
"Mrvi1",2.03129144628895e-116,0.276062249457418,0.341,0.026,3.25676957583507e-112,"SPM WT","Mrvi1"
"Ccl6",5.72140778948058e-115,3.0430939911748,1,0.624,9.17313310887422e-111,"SPM WT","Ccl6"
"Pltp",8.69183192022396e-115,2.58671853987265,1,0.472,1.39356141176951e-110,"SPM WT","Pltp"
"AI467606",2.02040797019538e-114,0.976397866006289,0.962,0.228,3.23932009861426e-110,"SPM WT","AI467606"
"Anxa2",1.82791743369559e-113,1.92015418294393,0.978,0.367,2.93070002144414e-109,"SPM WT","Anxa2"
"Ccl9",1.6419781300569e-112,2.35618735517852,0.995,0.475,2.63258353592023e-108,"SPM WT","Ccl9"
"Ifitm6",8.60010078514977e-112,1.70537029777685,0.962,0.319,1.37885415888306e-107,"SPM WT","Ifitm6"
"Sept9",2.03998339035412e-110,1.16715707896335,0.957,0.293,3.27070536975477e-106,"SPM WT","Sept9"
"Glipr2",2.45307884557499e-110,0.71411712503505,0.703,0.125,3.93302131311038e-106,"SPM WT","Glipr2"
"Ccdc88c",7.20228188505535e-109,0.489472770854742,0.73,0.127,1.15474185463092e-104,"SPM WT","Ccdc88c"
"Tstd3",5.5261978026509e-107,0.265028191845165,0.47,0.054,8.86015293699019e-103,"SPM WT","Tstd3"
"Mrtfb",5.92431266035315e-107,0.667045830182138,0.768,0.149,9.4984504883442e-103,"SPM WT","Mrtfb"
"Sepsecs",3.45651714508659e-106,0.375506231122711,0.616,0.092,5.54183393871732e-102,"SPM WT","Sepsecs"
"Plpp2",7.7534818000039e-106,0.258885239034208,0.438,0.047,1.24311573699462e-101,"SPM WT","Plpp2"
"A430078G23Rik",4.95795773418054e-105,0.346430325651417,0.524,0.069,7.94909363521166e-101,"SPM WT","A430078G23Rik"
"Rnf141",8.06849763407083e-105,1.05291609392565,0.984,0.288,1.29362222567058e-100,"SPM WT","Rnf141"
"Pid1",1.02030308832671e-104,2.3447552664924,1,0.655,1.63585194151421e-100,"SPM WT","Pid1"
"Tspan32",3.51081919277258e-104,0.507750183287417,0.73,0.133,5.62889641177227e-100,"SPM WT","Tspan32"
"Crip1",7.11511349431485e-104,2.55490688186344,1,0.62,1.1407661465435e-99,"SPM WT","Crip1"
"Tns4",1.36016186233163e-102,0.271182764985144,0.578,0.082,2.18074751387631e-98,"SPM WT","Tns4"
"Sh2d1b1",3.62038027074943e-102,0.262088454523699,0.47,0.055,5.80455568809256e-98,"SPM WT","Sh2d1b1"
"Eps8",4.3103200800418e-102,1.37707329486823,0.989,0.361,6.91073618433101e-98,"SPM WT","Eps8"
"Bri3bp",9.61198116215397e-99,0.355173084225679,0.535,0.074,1.54108893972815e-94,"SPM WT","Bri3bp"
"Mbp",1.93355649453535e-98,0.748811202105494,0.886,0.219,3.10007112768852e-94,"SPM WT","Mbp"
"Mob3b",2.13014482964835e-98,1.01836831465598,0.951,0.259,3.41526120537519e-94,"SPM WT","Mob3b"
"Atp1a3",2.31225966218914e-98,0.824903310854068,0.908,0.226,3.70724591638784e-94,"SPM WT","Atp1a3"
"Stk39",1.57171443821417e-97,0.331564472467582,0.438,0.051,2.51992975878878e-93,"SPM WT","Stk39"
"Limd1",3.7247319707153e-97,0.842241229167406,0.93,0.256,5.97186276864784e-93,"SPM WT","Limd1"
"Elmo2",1.10341277127662e-96,0.757244124588087,0.854,0.22,1.7691016961878e-92,"SPM WT","Elmo2"
"Arhgap6",1.91752569748164e-96,0.831446449683369,0.67,0.121,3.07436895077231e-92,"SPM WT","Arhgap6"
"Fam118b",2.10107641975963e-96,0.533943791288499,0.73,0.144,3.36865582380061e-92,"SPM WT","Fam118b"
"Flna",1.21187881025112e-94,1.27893730848858,0.995,0.426,1.94300529647561e-90,"SPM WT","Flna"
"Tspan5",9.35387751550042e-94,1.01363745644898,0.865,0.224,1.49970718206018e-89,"SPM WT","Tspan5"
"Palld",2.05850795641309e-93,0.384681551650127,0.449,0.056,3.3004058065171e-89,"SPM WT","Palld"
"Apba1",3.07584965935087e-92,1.27203786802114,0.941,0.308,4.93150975883726e-88,"SPM WT","Apba1"
"Alcam",1.04633998790636e-91,1.52396991963806,0.995,0.347,1.67759690261027e-87,"SPM WT","Alcam"
"Crat",3.78377440985657e-91,0.572077661450904,0.805,0.182,6.06652551132304e-87,"SPM WT","Crat"
"Me2",5.43651692308474e-91,0.626204786489027,0.843,0.207,8.71636758278176e-87,"SPM WT","Me2"
"Gm21188",2.71051216134226e-90,1.25282417882183,0.973,0.327,4.34576414828005e-86,"SPM WT","Gm21188"
"Gda",3.03327421780945e-90,1.6855477451171,1,0.385,4.86324855341389e-86,"SPM WT","Gda"
"S100a6",5.42007141844486e-90,2.23011632593878,0.946,0.408,8.69000050519264e-86,"SPM WT","S100a6"
"Slamf9",1.03390035492014e-89,1.01296817056392,0.822,0.21,1.65765243904347e-85,"SPM WT","Slamf9"
"Tppp3",1.6779258614473e-89,0.76903774307473,0.735,0.162,2.69021853365846e-85,"SPM WT","Tppp3"
"S100a10",4.10977812163423e-89,1.62686624523238,0.984,0.459,6.58920726241616e-85,"SPM WT","S100a10"
"Sfxn3",1.03032384695858e-88,0.544132414872496,0.849,0.203,1.65191822382869e-84,"SPM WT","Sfxn3"
"Capg",1.07981024575794e-88,1.49179095669079,0.968,0.46,1.73125976702371e-84,"SPM WT","Capg"
"Tgfbr3",1.89805839671947e-88,0.563424586970835,0.459,0.066,3.04315702746033e-84,"SPM WT","Tgfbr3"
"Aqp9",2.950901077619e-88,0.64720780292857,0.778,0.171,4.73117969774654e-84,"SPM WT","Aqp9"
"Atrnl1",5.20091777532645e-88,1.48400703221997,0.995,0.39,8.33863146918089e-84,"SPM WT","Atrnl1"
"Cd36",1.07299672681175e-87,1.1766907604221,0.946,0.285,1.72033565209728e-83,"SPM WT","Cd36"
"Sept11",1.1844918208141e-87,1.39177944469621,0.978,0.406,1.89909573631125e-83,"SPM WT","Sept11"
"Cd200r1",1.38906947513979e-87,0.91617010590087,0.8,0.198,2.22709508949163e-83,"SPM WT","Cd200r1"
"Utrn",7.62913674566833e-87,1.28367837740229,0.935,0.334,1.223179494433e-82,"SPM WT","Utrn"
"Ccdc69",1.74168790732632e-86,0.293839162769209,0.535,0.085,2.79244822181628e-82,"SPM WT","Ccdc69"
"Dipk1a",2.61123827101765e-85,0.875469389821219,0.892,0.261,4.18659831992259e-81,"SPM WT","Dipk1a"
"Lsp1",6.84596904625595e-85,1.54269093491654,1,0.594,1.09761421718622e-80,"SPM WT","Lsp1"
"Mpp6",1.51903148110451e-84,1.06968491164987,0.968,0.365,2.43546317365486e-80,"SPM WT","Mpp6"
"Armc8",1.43437225976794e-82,0.825865944517064,0.897,0.266,2.29972904408594e-78,"SPM WT","Armc8"
"Plcb1",2.41897037504543e-82,1.50691446439925,0.984,0.327,3.87833520231034e-78,"SPM WT","Plcb1"
"Naaa",4.68876906852869e-82,1.29851478746185,0.914,0.364,7.51750344757206e-78,"SPM WT","Naaa"
"St8sia6",7.09608623682297e-82,0.915208614403459,0.859,0.221,1.13771550634983e-77,"SPM WT","St8sia6"
"Prkag2",8.51867118505627e-82,0.713396612794213,0.903,0.247,1.36579855110007e-77,"SPM WT","Prkag2"
"Selenoi",2.11669172168151e-81,0.319712350603032,0.535,0.087,3.39369183737197e-77,"SPM WT","Selenoi"
"Slc2a6",4.04193667904338e-81,0.353764073425794,0.665,0.13,6.48043707751024e-77,"SPM WT","Slc2a6"
"Emp3",5.14771178048252e-81,1.50174681796488,0.989,0.606,8.25332629764762e-77,"SPM WT","Emp3"
"Marveld1",5.22758154793843e-81,0.379020280185439,0.659,0.13,8.38138149580968e-77,"SPM WT","Marveld1"
"Arhgef18",6.9032888855557e-81,0.447189432743209,0.649,0.13,1.10680430702114e-76,"SPM WT","Arhgef18"
"Nhsl2",1.57551441671403e-80,0.634010559976075,0.843,0.21,2.52602226431761e-76,"SPM WT","Nhsl2"
"Gas7",5.54947559078689e-80,1.15010499003122,0.935,0.314,8.89747421470862e-76,"SPM WT","Gas7"
"Rgs14",8.53172013123009e-80,0.397844659573322,0.654,0.132,1.36789068864012e-75,"SPM WT","Rgs14"
"Kcnab2",1.41341267679972e-79,0.466963280795575,0.67,0.143,2.266124544713e-75,"SPM WT","Kcnab2"
"Rasgrp4",1.74860317793589e-79,0.61759783917562,0.838,0.225,2.80353547518461e-75,"SPM WT","Rasgrp4"
"Rras2",6.83827392337895e-79,0.728318962040484,0.908,0.259,1.09638045813535e-74,"SPM WT","Rras2"
"Sept6",8.55598314277851e-79,0.26589015202055,0.476,0.072,1.37178077728168e-74,"SPM WT","Sept6"
"Shtn1",1.1290849107086e-78,0.858956672670732,0.935,0.301,1.8102618373391e-74,"SPM WT","Shtn1"
"Pik3r6",2.73538364584475e-78,0.694159278226263,0.832,0.228,4.38564059938289e-74,"SPM WT","Pik3r6"
"Svil",3.46291186494967e-78,1.08785496043214,0.978,0.409,5.55208659307381e-74,"SPM WT","Svil"
"Capn1",3.93041830442547e-78,0.463994703718417,0.692,0.156,6.30163966748535e-74,"SPM WT","Capn1"
"Mfsd14a",5.85593562498019e-78,0.662824830848844,0.87,0.25,9.38882158753073e-74,"SPM WT","Mfsd14a"
"Mrc1",8.46421128015943e-78,0.925973644411703,0.957,0.281,1.35706699454796e-73,"SPM WT","Mrc1"
"Arhgap10",8.84488296841853e-78,0.377229986294541,0.67,0.135,1.41810008632654e-73,"SPM WT","Arhgap10"
"Slc41a3",1.74304947271713e-77,0.293873298910499,0.524,0.088,2.79463121960737e-73,"SPM WT","Slc41a3"
"Add3",3.42780492141324e-77,1.24466927699098,1,0.345,5.49579963050185e-73,"SPM WT","Add3"
"Acss1",4.43990629880521e-77,0.440794877354929,0.757,0.167,7.11850176887439e-73,"SPM WT","Acss1"
"Mfsd14b",5.96526262209929e-77,0.900299305815997,0.962,0.346,9.56410556201179e-73,"SPM WT","Mfsd14b"
"Esyt1",6.73900691441121e-77,0.651964824276472,0.843,0.251,1.08046497858755e-72,"SPM WT","Esyt1"
"Fam111a",6.9557427983059e-77,1.04334926416474,0.984,0.424,1.11521424285239e-72,"SPM WT","Fam111a"
"Gm2a",1.15235827871611e-76,1.92357271961441,0.973,0.613,1.84757602826553e-72,"SPM WT","Gm2a"
"Nav1",1.16434701606952e-76,1.22196606363876,1,0.417,1.86679757086426e-72,"SPM WT","Nav1"
"Sh3rf1",1.69206867606618e-76,0.33382667529574,0.503,0.083,2.71289370833691e-72,"SPM WT","Sh3rf1"
"Pdlim1",1.83500093707584e-76,0.767346886154447,0.897,0.245,2.9420570024137e-72,"SPM WT","Pdlim1"
"Kctd12b",2.13033604515175e-76,0.298812437651513,0.481,0.077,3.4155677811918e-72,"SPM WT","Kctd12b"
"Cysltr1",2.63994465070017e-76,0.981667227866925,0.935,0.353,4.23262325846759e-72,"SPM WT","Cysltr1"
"Ccdc88a",5.47572765999412e-76,1.30926084162522,0.957,0.391,8.77923415726858e-72,"SPM WT","Ccdc88a"
"Batf3",6.7749670192922e-76,1.03508799862407,0.843,0.267,1.08623046220312e-71,"SPM WT","Batf3"
"Ms4a8a",1.09895198080352e-75,0.908602478318602,0.978,0.311,1.76194971082229e-71,"SPM WT","Ms4a8a"
"Slc41a2",4.21497057580167e-75,0.353758071451731,0.627,0.126,6.75786232418282e-71,"SPM WT","Slc41a2"
"Adam15",2.02061726378919e-74,1.08178162343756,0.973,0.425,3.23965565903321e-70,"SPM WT","Adam15"
"B4galnt1",2.92082805268221e-74,0.487075169636822,0.762,0.187,4.68296361686538e-70,"SPM WT","B4galnt1"
"Ksr1",8.90011854129446e-74,0.483901446585015,0.751,0.179,1.42695600572574e-69,"SPM WT","Ksr1"
"Plin3",2.95595939721252e-73,0.537725757462392,0.778,0.204,4.73928970155083e-69,"SPM WT","Plin3"
"Myof",3.48087463630066e-73,0.844690429518866,0.935,0.33,5.58088630438085e-69,"SPM WT","Myof"
"Lta4h",5.72285663420522e-73,0.457212757291588,0.757,0.187,9.17545604162123e-69,"SPM WT","Lta4h"
"Rgs18",5.78508570844977e-73,0.561589618862827,0.741,0.18,9.27522791635751e-69,"SPM WT","Rgs18"
"Relt",7.12964684351632e-73,0.299925567773373,0.53,0.094,1.14309627842097e-68,"SPM WT","Relt"
"Napsa",1.06652492284877e-72,0.586467830956734,0.724,0.171,1.70995940880343e-68,"SPM WT","Napsa"
"Zbtb16",1.36122430918126e-72,0.381561347359538,0.681,0.146,2.18245093491032e-68,"SPM WT","Zbtb16"
"Rarg",2.08600717754905e-72,0.454720267701111,0.789,0.194,3.3444953077644e-68,"SPM WT","Rarg"
"Lifr",2.09798447115281e-72,0.885023629110145,0.854,0.265,3.36369850259931e-68,"SPM WT","Lifr"
"Tyk2",3.76330175225723e-72,0.530962468683445,0.811,0.222,6.03370169939402e-68,"SPM WT","Tyk2"
"Bak1",2.3259773652884e-71,0.574425702455042,0.892,0.271,3.72923950976689e-67,"SPM WT","Bak1"
"Gskip",3.04243897900825e-71,0.353428298994057,0.659,0.142,4.87794241504393e-67,"SPM WT","Gskip"
"Dpp4",7.85078579883095e-71,0.306619120146833,0.319,0.038,1.25871648712657e-66,"SPM WT","Dpp4"
"Tiam1",1.99758514798949e-70,0.998494355494874,0.886,0.308,3.20272826777155e-66,"SPM WT","Tiam1"
"Ahcyl2",5.70583856648711e-70,1.4521564558383,0.957,0.461,9.14817097364879e-66,"SPM WT","Ahcyl2"
"Evi2",1.10367761024768e-69,0.290213662286096,0.708,0.159,1.7695263125101e-65,"SPM WT","Evi2"
"Slc28a2",1.51530731508223e-69,0.428882588576347,0.643,0.145,2.42949221827135e-65,"SPM WT","Slc28a2"
"Rarb",1.54610622858694e-69,0.568105264837239,0.708,0.164,2.47887211629345e-65,"SPM WT","Rarb"
"Pqlc3",2.87826923678239e-69,0.357913305733598,0.649,0.142,4.61472906733321e-65,"SPM WT","Pqlc3"
"Adgrg6",3.39452809926415e-69,0.461941471041355,0.724,0.174,5.44244690155021e-65,"SPM WT","Adgrg6"
"Cep128",3.51042513905719e-69,0.481057892806092,0.654,0.148,5.6282646254504e-65,"SPM WT","Cep128"
"Negr1",4.2816048638142e-69,0.333579983325981,0.232,0.021,6.8646970781533e-65,"SPM WT","Negr1"
"Gltp",5.18860497646901e-69,0.997372394425024,0.968,0.455,8.31889035877276e-65,"SPM WT","Gltp"
"Grk5",6.89499665405887e-69,0.767750212013532,0.995,0.31,1.10547481354526e-64,"SPM WT","Grk5"
"Rnd3",1.09264021519116e-68,0.394322602786015,0.643,0.142,1.75183005701599e-64,"SPM WT","Rnd3"
"Coro2a",3.91790512752078e-68,0.600430829513073,0.659,0.157,6.28157729095406e-64,"SPM WT","Coro2a"
"Cbfa2t3",3.96716220095485e-68,0.875246097157686,0.854,0.279,6.36055115679091e-64,"SPM WT","Cbfa2t3"
"Emb",6.18592144672066e-68,0.629290795567554,0.805,0.223,9.91788785552724e-64,"SPM WT","Emb"
"Myl6",7.04739286789415e-68,1.13755343535848,1,0.855,1.12990849850947e-63,"SPM WT","Myl6"
"Inpp4a",9.44549402909527e-68,0.593648435280979,0.892,0.276,1.51439605768485e-63,"SPM WT","Inpp4a"
"Plec",1.97009197543287e-67,0.515090100207803,0.746,0.195,3.15864846421152e-63,"SPM WT","Plec"
"Rbpj",2.90320898093192e-67,1.31292576955127,0.995,0.693,4.65471495912814e-63,"SPM WT","Rbpj"
"Ccng1",5.66253747331317e-67,0.574265736423071,0.832,0.243,9.078746330963e-63,"SPM WT","Ccng1"
"Dbi",9.12162583168627e-67,1.16239589794769,0.973,0.53,1.46247026959426e-62,"SPM WT","Dbi"
"Tifab",1.16692534356939e-66,0.531937298650541,0.816,0.229,1.87093140334481e-62,"SPM WT","Tifab"
"Fgfr1",2.31082056798475e-66,0.526919895388646,0.973,0.254,3.70493861664995e-62,"SPM WT","Fgfr1"
"Arhgap18",3.03572927789705e-66,0.859167352166268,0.957,0.375,4.86718475125234e-62,"SPM WT","Arhgap18"
"Samd9l",3.09509392614681e-66,0.556244341522506,0.854,0.26,4.96236409179117e-62,"SPM WT","Samd9l"
"Dgkg",3.81629621100244e-66,0.403063066054015,0.692,0.162,6.1186677151002e-62,"SPM WT","Dgkg"
"Rnf150",8.75791002682858e-66,0.615959027026831,0.654,0.149,1.40415571460143e-61,"SPM WT","Rnf150"
"Adssl1",2.01450357611058e-65,0.657942313518907,0.876,0.29,3.22985358357809e-61,"SPM WT","Adssl1"
"Gpx1",2.49699234937567e-65,1.21688088308743,1,0.814,4.00342783375401e-61,"SPM WT","Gpx1"
"Fry",2.90264449129864e-65,0.9859292522771,0.962,0.34,4.6538099128991e-61,"SPM WT","Fry"
"S100a13",3.40351749439385e-65,0.979135608698004,0.973,0.483,5.45685959876166e-61,"SPM WT","S100a13"
"Ap2a2",1.06732972163413e-64,0.752543900146695,0.962,0.376,1.711249742696e-60,"SPM WT","Ap2a2"
"Fn1",1.07555616537698e-64,1.25088921445542,1,0.314,1.72443919994892e-60,"SPM WT","Fn1"
"Vps9d1",1.58103285884815e-64,0.272435480469174,0.6,0.127,2.53486998259124e-60,"SPM WT","Vps9d1"
"Iqgap2",2.49068335996402e-64,0.785642670355685,0.941,0.35,3.99331263103032e-60,"SPM WT","Iqgap2"
"S100a11",3.48515038783725e-64,0.869848003973408,0.984,0.404,5.58774161681946e-60,"SPM WT","S100a11"
"Dpep2",5.38498375890672e-64,0.368435305212612,0.589,0.128,8.63374446065514e-60,"SPM WT","Dpep2"
"Aida",5.54436462750295e-64,0.508667083442221,0.822,0.237,8.88927980727548e-60,"SPM WT","Aida"
