"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccl6",0.0755711590967781,-0.117567304531524,1,1,1
"Rras2",0.0756707001414811,0.148874122258227,0.876,0.908,1
"Usp24",0.0757014616180373,-0.081528401179922,0.562,0.703,1
"Tubgcp4",0.0757523884333532,-0.09131991751575,0.392,0.503,1
"Ppp2cb",0.0757543636962343,0.091984161701105,0.51,0.427,1
"Incenp",0.0759458361652582,-0.074727241171474,0.19,0.27,1
"Rp9",0.0759903887737058,0.112920655364859,0.85,0.849,1
"Serp1",0.0761220735934621,0.196701523459236,0.961,0.984,1
"Snrpb2",0.0763614064747727,0.116298595834014,0.882,0.822,1
"Stat5a",0.0763720509305327,-0.042518910601127,0.359,0.449,1
"Evi5",0.0763924530232204,0.172165840730143,0.967,0.951,1
"Btbd8",0.0764049236977289,-0.00617249278228629,0.078,0.146,1
"Med13",0.0764622611071497,-0.0581529005059325,0.739,0.854,1
"Fam204a",0.0764937093280448,-0.0591617323515677,0.379,0.476,1
"Gypc",0.0765148076810479,-0.0277825439980813,0.163,0.254,1
"Zxdc",0.0765934844563811,-0.0559157877875271,0.248,0.335,1
"Sfswap",0.07659767549687,-0.0578258539937127,0.516,0.622,1
"Gramd4",0.0767702507554811,0.116145792446369,0.765,0.762,1
"Myof",0.076775055237316,0.0878310209716524,0.889,0.935,1
"Trmt10b",0.0767993832841831,-0.0436497305557788,0.137,0.216,1
"Abi1",0.0770392750866203,-0.15122859567522,0.935,0.968,1
"Gtpbp10",0.077069326852362,-0.028707773410192,0.131,0.205,1
"Ercc4",0.0773338316654222,-0.0298926405155661,0.255,0.346,1
"Aqr",0.0774345588780056,0.135967589601167,0.654,0.595,1
"Arhgap1",0.0774497029944034,-0.0895362854159551,0.523,0.643,1
"Tcf20",0.0775795119658793,0.0784995387935972,0.869,0.789,1
"Psme3",0.077589656077966,-0.100419247950174,0.523,0.649,1
"Slc30a1",0.0777051081714125,-0.0464573532845735,0.242,0.33,1
"Zw10",0.0777744222945849,-0.0581382509810665,0.183,0.254,1
"Tbca",0.0778005651078022,0.0968680510694413,0.954,0.978,1
"Tatdn3",0.0779708202441869,-0.0467139041852286,0.222,0.314,1
"Dock11",0.0780041759885679,0.0928676717254737,0.902,0.93,1
"Samm50",0.0780100157073892,-0.0864020162621157,0.647,0.708,1
"Lcmt1",0.0780211401102391,-0.0729378155352566,0.497,0.589,1
"B3galnt2",0.0780755999065734,-0.0574912872891966,0.235,0.33,1
"Fut11",0.0781944892413596,-0.068518636995866,0.458,0.568,1
"Rusc2",0.0782901130080564,0.0574155081165673,0.242,0.162,1
"Ppp2r2a",0.078309525380836,-0.0667560112224274,0.725,0.811,1
"Pskh1",0.0783117055545055,-0.0527484789618518,0.229,0.324,1
"Zc3h12d",0.0783941261672393,0.0668978719183614,0.131,0.076,1
"Vps39",0.0784616147508724,-0.0639965307208417,0.34,0.416,1
"Zfp709",0.078639555379139,-0.0288762447037631,0.105,0.173,1
"Phf21a",0.078762639444976,0.119209160091677,0.928,0.908,1
"Exosc1",0.0788482255676936,-0.065029480868835,0.353,0.459,1
"Cdk11b",0.0788561533751567,0.123205401735394,0.739,0.746,1
"Ccdc28b",0.0789620432156715,0.0933038046262208,0.288,0.222,1
"Srcap",0.0790332150846181,-0.0387815509976938,0.281,0.373,1
"Usp31",0.0790918922383035,-0.0444559528645244,0.275,0.373,1
"Plcb1",0.0791309542698379,-0.202786703262508,0.961,0.984,1
"Dgkh",0.0792321069998431,0.186660658392917,0.353,0.276,1
"Ttf1",0.079272309980732,-0.0518776180869493,0.301,0.389,1
"Pdxdc1",0.0793756536320726,-0.0957961196773068,0.595,0.697,1
"Crebbp",0.0794311603235855,-0.0429899081054355,0.869,0.957,1
"Scand1",0.079505923969537,0.0982086431425551,0.948,0.968,1
"Dhx30",0.0795230716807563,-0.0267863954895797,0.359,0.492,1
