"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Prr7",0.145291297294021,0.00946683263480914,0.077,0.109,1
"Pik3cd",0.145347764050723,-0.0290584272440025,0.365,0.432,1
"Themis2",0.14545010969773,-0.128642571292059,0.257,0.312,1
"Golph3",0.145473831208853,-0.143245527709882,0.419,0.49,1
"Strn3",0.145828030827339,-0.169317454662899,0.354,0.385,1
"Szrd1",0.145985358667436,-0.0139640718388676,0.338,0.417,1
"Cxcl9",0.146013918974278,-0.622072646129326,0.204,0.245,1
"Ppp4r2",0.146213659975546,0.144687768356128,0.779,0.823,1
"Exoc6b",0.146357075376166,-0.107348971954778,0.419,0.474,1
"Srxn1",0.146582946085928,-0.0628360292408998,0.17,0.219,1
"Galnt1",0.146674699634187,-0.032614938524323,0.447,0.505,1
"Esyt2",0.146956312841133,-0.115124784233915,0.235,0.292,1
"Tax1bp1",0.147126252900241,-0.156253548700416,0.704,0.786,1
"Scand1",0.14720798666653,-0.0601253395420198,0.713,0.745,1
"Galnt3",0.147296076475296,-0.0242367536998647,0.082,0.115,1
"Snx29",0.14792045772904,-0.260551061281828,0.637,0.677,1
"Terf2",0.148021643894345,-0.0587525383455611,0.122,0.161,1
"Cep164",0.148183877155724,-0.0299325974947444,0.095,0.13,1
"Ccl5",0.148499825448696,0.353629685028051,0.249,0.203,1
"Sgcb",0.148501475058685,0.0213082784928719,0.113,0.156,1
"Etf1",0.148611538252972,-0.0964253017326293,0.799,0.849,1
"Sdc4",0.148682150069489,0.207857948138435,0.859,0.859,1
"Slfn8",0.148803912793235,-0.0993453283112841,0.21,0.255,1
"Rasgrp1",0.148920682271084,0.162160106373164,0.421,0.375,1
"Rprd1a",0.148988556368544,-0.0410491814085255,0.084,0.115,1
"Pfdn6",0.149033688713624,-0.0642690094851254,0.299,0.365,1
"Aar2",0.149072234377771,-0.0627986825470879,0.155,0.198,1
"Dnajc21",0.149168367964681,-0.0212286588967975,0.166,0.214,1
"Dym",0.149279151116548,-0.0945179364747931,0.311,0.38,1
"Vwa5a",0.149279277903618,0.0215984842896144,0.413,0.505,1
"Vrk2",0.149491724806422,-0.0173462527765343,0.346,0.411,1
"Ythdc1",0.149494697167076,-0.211954296947555,0.641,0.714,1
"Fto",0.14972358090636,-0.213344198610681,0.371,0.422,1
"Sec16a",0.149815325486761,-0.0835462787168031,0.195,0.24,1
"Gtf2a2",0.150013781364798,-0.0504985682294034,0.263,0.323,1
"Ubb",0.150070042336562,-0.275877778486326,0.964,0.948,1
"Slc43a2",0.150118861379834,-0.229742309656867,0.47,0.531,1
"Sec61g",0.150215411486039,0.093602308147539,0.79,0.76,1
"Bach1",0.150300162750951,-0.218125194619251,0.85,0.901,1
"Trp53",0.150368498708459,-0.0810471514925979,0.228,0.276,1
"Midn",0.150422566932543,-0.056342344643639,0.248,0.307,1
"Zbtb21",0.150439410823663,-0.121640655214063,0.283,0.339,1
"Arl5a",0.150447595690759,-0.0477913826054371,0.294,0.359,1
"Slc25a1",0.150568220188742,0.0050248305730162,0.106,0.146,1
"Mast3",0.150625811382068,-0.0325597004133024,0.19,0.24,1
"Tfpt",0.151029286043173,-0.0331069892059516,0.077,0.109,1
"Idnk",0.151210733499013,-0.0277241157513625,0.254,0.302,1
"Sgk3",0.151246189284571,0.0956339778108022,0.35,0.307,1
"Zfp950",0.151356553367512,-0.0447626656223204,0.1,0.135,1
"Hdac1",0.151428342316799,-0.0231164414168326,0.245,0.302,1
"Elac1",0.151671938458636,-0.00707516946587092,0.073,0.104,1
"Sbno2",0.151698075042452,-0.174576251041809,0.598,0.656,1
"Plpbp",0.151994971401407,-0.141744893554493,0.6,0.672,1
"Armh3",0.15207000014763,-0.162477253231216,0.134,0.172,1
"Ermap",0.152429687549443,-0.0389539740027128,0.301,0.245,1
