"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C3ar1",2.25484548362593e-60,-0.7671726411075,0.192,0.441,3.61519376389745e-56
"Gpi1",3.48569774358419e-60,0.55569040914094,0.8,0.619,5.58861919228853e-56
"P2ry10",1.33493010216546e-59,0.609280303622304,0.47,0.194,2.14029343280189e-55
"Rplp0",2.48277625142494e-59,0.506206769873032,0.954,0.916,3.9806351639096e-55
"Plin2",3.07344499201632e-59,-0.798202255567402,0.791,0.881,4.92765435569977e-55
"Gdi2",4.21310459201336e-59,0.645581786837361,0.853,0.729,6.75487059237501e-55
"Gm21188",3.74749188009889e-58,-0.754259548367894,0.557,0.745,6.00835373136255e-54
"Prkce",4.59922954105451e-58,0.783928928486322,0.801,0.597,7.37394472317269e-54
"Dhrs3",7.56921291867583e-58,-0.608997597083296,0.186,0.426,1.2135719072513e-53
"Rpl4",9.28081498822086e-58,0.507229085699201,0.877,0.794,1.48799306706145e-53
"Phf11b",3.44066541237035e-57,-0.789824365903135,0.312,0.543,5.51641885565339e-53
"Rplp1",1.86165283126243e-56,0.396543329534093,0.98,0.956,2.98478798436305e-52
"Plbd1",1.90208258774427e-56,0.502587670498225,0.912,0.79,3.04960901293038e-52
"Oas1a",2.0460190761925e-56,-0.524010294572761,0.252,0.488,3.28038238485944e-52
"Rps6",3.18812985359213e-56,0.458911800493106,0.931,0.886,5.11152859426426e-52
"Slfn1",5.02007189518576e-56,-0.766849177635484,0.177,0.411,8.04868126955133e-52
"Rps3",5.17356972515896e-56,0.481539211047524,0.931,0.893,8.29478434034736e-52
"Rpl10a",1.82449427824478e-55,0.503904731917776,0.93,0.862,2.92521167630985e-51
"Rps13",2.36137662171161e-55,0.424750111216209,0.947,0.921,3.78599513759022e-51
"Cndp2",9.41067366926961e-55,-0.666015149765466,0.5,0.682,1.508813309394e-50
"Rps16",9.8646163161607e-55,0.367041889307491,0.962,0.949,1.58159393397005e-50
"Rpl23",1.01420867735838e-54,0.38714604034957,0.971,0.956,1.62608077240869e-50
"Arid5a",5.51814663977304e-54,-0.755063579447692,0.367,0.602,8.84724450754811e-50
"Ifi211",6.2281802937112e-54,-0.877501697966358,0.504,0.684,9.98564146490717e-50
"Eef1b2",8.11974808032103e-54,0.516318728276175,0.884,0.802,1.30183920971787e-49
"Fam129a",2.46131801779021e-53,0.575115095256107,0.517,0.261,3.94623117792304e-49
"mt-Nd1",2.94328796474663e-53,0.477650487436436,0.968,0.873,4.71897359387828e-49
"Fcer1g",9.96119403608793e-53,-0.524493385718087,0.954,0.954,1.59707823980598e-48
"Dennd1a",3.71977222577853e-52,-1.0625225146832,0.566,0.726,5.96391080959072e-48
"H2-T23",5.80136238309041e-52,-0.596413402099199,0.75,0.818,9.30132430880886e-48
"Rps17",1.00019969833128e-51,0.461168977690424,0.905,0.871,1.60362017633454e-47
"Tpt1",3.15165697842249e-51,0.324193581679112,0.982,0.971,5.05305163350478e-47
"Rps5",6.33914802614479e-51,0.462435157709081,0.949,0.901,1.01635560303179e-46
"Eef2",1.25454153735971e-50,0.446414906606238,0.885,0.802,2.01140644684882e-46
"Rpl15",2.10774123976606e-50,0.462511318673211,0.925,0.897,3.37934152971692e-46
"Nr4a3",2.34259086994557e-50,0.690994772433987,0.858,0.713,3.75587594178374e-46
"Rpl17",3.66532578770992e-50,0.412254935636045,0.959,0.928,5.87661683543531e-46
"mt-Nd4",3.69840574187792e-50,0.427152183782876,0.962,0.893,5.92965392595287e-46
"Rpl21",7.28734796219536e-50,0.410447700188473,0.953,0.929,1.16838049877878e-45
"Chmp4b",1.42724972182179e-49,-0.530644502524002,0.828,0.874,2.28830947899687e-45
"Psap",6.39600053203063e-49,0.435993274922978,0.966,0.931,1.02547076530047e-44
"Jund",9.79940054766876e-49,-0.695635335214638,0.886,0.917,1.57113788980773e-44
"Ifitm3",1.19688441531468e-48,-0.758967125085501,0.922,0.93,1.91896478307403e-44
"Parp14",1.62258646170892e-48,-0.811127999539794,0.509,0.7,2.60149287405791e-44
"Rps15",1.88593367654886e-48,0.378792320986267,0.958,0.93,3.02371746361079e-44
"Ifi208",9.95865012685403e-48,-0.441624073697556,0.048,0.214,1.59667037483851e-43
"Daxx",1.59748666784377e-47,-0.676313074579537,0.226,0.436,2.56125037455391e-43
"Pgk1",3.51058272844797e-47,0.55452169001879,0.767,0.59,5.62851728852063e-43
"Herc6",4.56652365845195e-47,-0.802885139647023,0.228,0.442,7.32150738159602e-43
"Oas2",5.10629897495888e-47,-0.480512398128476,0.124,0.323,8.18692914655157e-43
"Pnp",5.41727874194588e-47,-0.724192522651286,0.523,0.683,8.68552300696182e-43
"Spon1",1.07744511595692e-46,-0.65982294925036,0.37,0.587,1.72746775441373e-42
"C1qb",2.27736155174461e-46,-1.53411955850674,0.348,0.533,3.65129377591213e-42
"H2-Q7",2.63975264565514e-46,-0.474824736637795,0.934,0.954,4.23231541677888e-42
"St8sia4",4.00502753206816e-46,0.82935286858917,0.68,0.469,6.42126064216488e-42
"Npm1",4.64069746002884e-46,0.441827412138831,0.877,0.766,7.44043023766424e-42
"Rps12",6.46794437139292e-46,0.343691020889528,0.972,0.958,1.03700552106543e-41
"Cox7a2l",8.13478882749234e-46,0.461626057168838,0.816,0.673,1.30425069271185e-41
"Cstb",4.8380441232684e-45,-0.599533924141572,0.838,0.877,7.75683614283623e-41
"Rpl36a",4.84079477918271e-45,0.454233763853951,0.896,0.82,7.76124626946365e-41
"Sdcbp",5.78012768434937e-45,-0.427204442178972,0.923,0.933,9.26727871631735e-41
"Ifi206",5.97663277816537e-45,-0.691502914605683,0.213,0.423,9.58233533323254e-41
"Rps15a",2.49528787322848e-44,0.423632997721417,0.938,0.896,4.00069504714723e-40
"Bach1",3.36444477248362e-44,-0.566724786850027,0.627,0.801,5.39421430372299e-40
"Isg20",4.03288392770607e-44,-0.695670269738567,0.189,0.386,6.46592280129114e-40
"Pltp",4.32362904963379e-44,0.549725709720304,0.576,0.352,6.93207445527785e-40
"Slfn2",1.42072301716218e-43,-0.524435743734498,0.908,0.944,2.27784521341613e-39
"Atp5b",2.98638015644588e-43,0.459482714670171,0.828,0.687,4.78806330482969e-39
"Rab20",3.21629035678854e-43,-0.560523927040467,0.792,0.858,5.15667832903906e-39
"Itga4",9.27412572582225e-43,0.588808374832702,0.752,0.552,1.48692057762108e-38
"Rpl26",2.0476711518566e-42,0.322086139804259,0.958,0.949,3.28303115777169e-38
"Rsrp1",2.1427528767646e-42,-0.564250053138146,0.668,0.792,3.43547568731668e-38
"Eif3e",2.14959789477478e-42,0.417452517858922,0.752,0.578,3.44645030469241e-38
"Tmem123",3.30762334987291e-42,0.490562557719104,0.833,0.69,5.30311251685123e-38
"Rps7",5.63585880239347e-42,0.419997786481497,0.935,0.91,9.03597241787745e-38
"Rpl22",8.28397820418212e-42,0.36937773313852,0.926,0.874,1.32817022547652e-37
"Eef1g",1.156557765004e-41,0.443315051389751,0.77,0.609,1.85430906463092e-37
"Tkt",1.42217177961534e-41,0.45568492031808,0.827,0.687,2.28016801425727e-37
"Tubb5",1.60895397902684e-41,0.457593746499281,0.697,0.498,2.57963591457374e-37
"Rps19",1.74583532295562e-41,0.351741549203466,0.955,0.948,2.79909777329474e-37
"Gnai2",3.32383144759216e-41,0.391001394928002,0.893,0.819,5.32909895992452e-37
"Slfn5",3.34490013511939e-41,-0.994767715335499,0.263,0.464,5.36287838663692e-37
"Rpl35a",4.06527795037203e-41,0.296478962948124,0.97,0.956,6.51786013783148e-37
"Rpl13",7.3559787570857e-41,0.375427287326458,0.975,0.964,1.17938407412355e-36
"Apoe",7.38534207655586e-41,-1.29272870880227,0.648,0.731,1.1840918951342e-36
"Lrrfip1",8.90364312617699e-41,0.441986688382057,0.871,0.762,1.42752110241996e-36
"mt-Nd3",9.51671224223301e-41,0.418485711557312,0.661,0.439,1.52581447379722e-36
"Trim30a",1.33685029583302e-40,-0.724158443743905,0.454,0.625,2.14337207930908e-36
"Rab8b",1.3978031308171e-40,0.520012343676963,0.922,0.829,2.24109775963905e-36
"Myh9",1.49860712629987e-40,0.493041006034406,0.728,0.545,2.40271680559658e-36
"Slc30a1",4.02443506251385e-40,-0.482025695388248,0.291,0.509,6.45237673572846e-36
