"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Camk1d",7.28471811553652e-30,0.3716753235868,0.97,0.913,1.16795885546397e-25
"Epb41l2",9.38806246299575e-30,-0.337819593892064,0.983,0.989,1.50518805469211e-25
"Cd48",1.76814061650886e-29,0.269807360757786,0.492,0.285,2.83485985044865e-25
"Ly6e",1.87763760052213e-28,0.317770400744458,0.933,0.87,3.01041636491713e-24
"Rps12",2.39019467377667e-28,0.26877275523689,0.953,0.948,3.83219912046613e-24
"P2ry13",4.96945694022494e-28,-0.377700514030048,0.665,0.73,7.96753031226264e-24
"Sort1",7.21021667681016e-28,0.300368262471919,0.472,0.283,1.15601403979297e-23
"Tyrobp",8.0269192281294e-28,0.261260447008665,0.975,0.961,1.28695595984599e-23
"Map3k3",1.11424659407086e-27,0.347377692287005,0.648,0.452,1.78647156427382e-23
"Atp5e",1.72501468187249e-27,0.30473753945899,0.807,0.643,2.76571603944616e-23
"Otulinl",2.41687035853182e-27,0.398246872944508,0.885,0.771,3.87496824583406e-23
"Mertk",2.76903561970376e-27,0.35675628215757,0.941,0.86,4.43959480907104e-23
"Spi1",4.16141424305177e-27,-0.330098489607255,0.928,0.923,6.67199545588491e-23
"Hbb-bs",4.79590372926742e-27,1.75673098325294,0.139,0.041,7.68927244913446e-23
"Hsph1",6.53727541686201e-27,0.581686728069356,0.471,0.295,1.04812136758549e-22
"Tent5a",7.37467541576603e-27,0.371631590846377,0.431,0.261,1.18238170940977e-22
"Sgk3",9.74183869135773e-27,0.293248469668667,0.473,0.282,1.56190899738538e-22
"Sdc3",9.87416036564412e-27,0.209878165531229,0.293,0.142,1.58312413142372e-22
"H2-D1",1.57445608015287e-26,0.316995870485233,0.963,0.939,2.5243254333091e-22
"Ndufa3",1.76081863372479e-26,0.23537892288692,0.444,0.256,2.82312051545095e-22
"Sik1",2.22360057773042e-26,0.197192633031456,0.188,0.071,3.56509880627518e-22
"Ptprj",3.4699685725847e-26,-0.354401861514569,0.976,0.977,5.56340061242505e-22
"Rps20",4.88143933006002e-26,0.27645872413342,0.946,0.942,7.82641167788523e-22
"Tnf",7.7691791928219e-26,-0.352489692927806,0.733,0.831,1.24563249998513e-21
"Rilpl2",8.80748355190083e-26,0.447239143290825,0.553,0.392,1.41210383787626e-21
"Rap1b",9.16275502078114e-26,-0.313744274983169,0.949,0.937,1.46906451248184e-21
"Ms4a4c",1.12112528299e-25,0.175399908961254,0.1,0.022,1.79750016621787e-21
"Gpr35",1.90765742557426e-25,0.152482272861035,0.139,0.044,3.0585471504232e-21
"Ucp2",2.68697497421828e-25,0.377560226567716,0.854,0.735,4.30802697616416e-21
"Rpl34",3.00789668062192e-25,0.265651557262657,0.948,0.933,4.82256074804113e-21
"Rad51b",3.33167961281754e-25,0.313737373897597,0.366,0.204,5.34168192323037e-21
"Kdm6b",3.69951737061894e-25,-0.410993235972909,0.87,0.887,5.93143620031335e-21
"March1",4.26419563768963e-25,0.307134152620896,0.564,0.373,6.83678486590778e-21
"Rpl35a",4.3124057243193e-25,0.250770275720284,0.954,0.948,6.91408009780114e-21
"Ptprm",7.59489993029391e-25,-0.588689363275484,0.457,0.567,1.21769030582402e-20
"Prkd1",8.53798632079894e-25,0.233358179107753,0.399,0.227,1.36889534681369e-20
"Pdcd4",9.86728784951139e-25,0.239578726727951,0.369,0.202,1.58202226091216e-20
"Lnpep",1.01074916685869e-24,0.273042691171923,0.637,0.434,1.62053413922454e-20
"Rassf2",1.14760779933364e-24,0.281922674517133,0.637,0.437,1.83995958467162e-20
"Ier3",1.41605061777932e-24,-0.443841897360835,0.778,0.83,2.27035395548559e-20
"Ecscr",1.58221382243186e-24,-0.371812575000603,0.493,0.59,2.536763421505e-20
"Cybb",1.72254827067679e-24,0.515371805308294,0.167,0.066,2.7617616423761e-20
"Lst1",1.93033930572209e-24,0.285866856024887,0.662,0.49,3.09491300886423e-20
"Bcor",2.2475837953881e-24,-0.468385683729422,0.77,0.798,3.60355109914575e-20
"Rps7",3.14231572234617e-24,0.282698519470644,0.943,0.919,5.03807479763761e-20
"Dpm1",4.38610186588974e-24,0.158094618447349,0.211,0.091,7.03223712158103e-20
"H2-K1",7.19883751240826e-24,0.267608888025226,0.971,0.933,1.15418961836442e-19
"Tomm7",1.01825980904845e-23,0.251258923198835,0.586,0.393,1.63257595184738e-19
"Dynll1",1.02293507768064e-23,0.233785747569506,0.565,0.368,1.64007181004538e-19
"Zfp991",1.34353815491425e-23,0.130861362787107,0.164,0.061,2.15409472377402e-19
"Fcgr2b",1.88811364657881e-23,0.282096709785236,0.716,0.535,3.02721260955981e-19
"Dnajb14",2.01927019679839e-23,0.243572729355997,0.468,0.293,3.23749590652686e-19
"Tex14",2.53466073795976e-23,0.338357031159971,0.469,0.299,4.06382156117088e-19
"Myo5a",2.81045735335424e-23,0.277495788285829,0.308,0.167,4.50600627463285e-19
"Sdf2l1",3.15034375307661e-23,0.242002149778536,0.492,0.307,5.05094613930773e-19
"Irf2bpl",3.64155350211085e-23,-0.478033983698647,0.455,0.541,5.83850272993433e-19
"Rps26",4.31351388685643e-23,0.270480890624547,0.93,0.894,6.91585681479691e-19
"Slc11a1",5.26032195570269e-23,0.263638414186577,0.659,0.464,8.43387419157813e-19
"Pag1",5.56933934212024e-23,0.417152974305233,0.91,0.812,8.92932176722137e-19
"Cpd",6.71063927641213e-23,-0.496254326763401,0.473,0.553,1.07591679518716e-18
"Gpr160",7.10999167959288e-23,0.187680183821995,0.19,0.081,1.13994496598913e-18
