NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_82	Etv1	na	5383	0.07503216713666916	-0.17806523	No	
row_83	Pla2g15	na	5415	0.07315195351839066	-0.18007532	No	
row_84	Plpp3	na	5447	0.06896260380744934	-0.18210088	No	
row_85	Mtln	na	5488	0.06544502824544907	-0.18480138	No	
row_86	Nr4a3	na	5514	0.06287083029747009	-0.18640812	No	
row_87	Ndfip1	na	5537	0.06045319885015488	-0.18780313	No	
row_88	Fmnl3	na	5633	0.05349304899573326	-0.19459306	No	
row_89	Maml2	na	5659	0.05114109441637993	-0.19624308	No	
row_90	Vav2	na	5701	0.04757964238524437	-0.19908307	No	
row_91	Ctnnd1	na	5702	0.04753803089261055	-0.19890763	No	
row_92	Pde3b	na	5730	0.045102205127477646	-0.20072705	No	
row_93	Pld2	na	5825	0.03388786315917969	-0.20751578	No	
row_94	Ptk2	na	6047	0.011128494516015053	-0.22372948	No	
row_95	Cmklr1	na	6077	0.008318069390952587	-0.22583176	No	
row_96	Zfp36l1	na	6539	-0.013211575336754322	-0.25969005	No	
row_97	Lpl	na	6599	-0.01949850469827652	-0.2639576	No	
row_98	March3	na	6657	-0.02619040198624134	-0.26805332	No	
row_99	Rock2	na	6836	-0.04215456545352936	-0.28098983	No	
row_100	Ralgds	na	6848	-0.04291728138923645	-0.2816405	No	
row_101	Lmna	na	6898	-0.04829541966319084	-0.28506625	No	
row_102	Rnf141	na	6905	-0.04925710707902908	-0.28532577	No	
row_103	Pcyox1	na	7025	-0.06018657982349396	-0.2938562	No	
row_104	Lipa	na	7163	-0.07196405529975891	-0.3036671	No	
row_105	Atpif1	na	7252	-0.08004167675971985	-0.3098442	No	
row_106	Pde4b	na	7275	-0.08194950968027115	-0.31115988	No	
row_107	Ddx3x	na	7306	-0.0841376855969429	-0.31305587	No	
row_108	Dnajb4	na	7395	-0.0910194143652916	-0.31919244	No	
row_109	Gnaq	na	7632	-0.11039122939109802	-0.33614308	No	
row_110	Dock9	na	7641	-0.11167504638433456	-0.3363193	No	
row_111	Manea	na	7687	-0.1160503551363945	-0.3392008	No	
row_112	Lacc1	na	7870	-0.13274918496608734	-0.35209715	No	
row_113	Cdc14b	na	8033	-0.14726820588111877	-0.3634689	No	
row_114	Ski	na	8048	-0.14852263033390045	-0.36395046	No	
row_115	Bhlhe41	na	8171	-0.15897874534130096	-0.37233695	No	
row_116	Serpinb9	na	8382	-0.17449375987052917	-0.38713866	No	
row_117	S1pr1	na	8384	-0.1745637059211731	-0.38656795	No	
